Date,Price,Open,High,Low,Vol.,Change %
2000-01-03,31.62,32.09,32.09,30.34,14.36M,-0.16%
2000-01-04,30.06,30.44,31.31,30.0,22.82M,-4.93%
2000-01-05,28.94,29.52,30.05,28.41,27.79M,-3.73%
2000-01-06,28.98,28.56,29.72,28.06,22.44M,0.14%
2000-01-07,29.23,28.19,29.27,27.75,37.73M,0.86%
2000-01-10,31.59,29.78,31.8,29.62,30.21M,8.07%
2000-01-11,30.2,30.94,32.42,30.05,27.27M,-4.40%
2000-01-12,31.77,30.5,31.81,29.47,30.56M,5.20%
2000-01-13,31.12,30.91,31.88,29.91,44.20M,-2.05%
2000-01-14,33.91,32.45,34.75,32.38,61.42M,8.97%
2000-01-18,33.78,33.47,34.44,33.03,27.73M,-0.38%
2000-01-19,35.59,33.88,35.81,33.56,29.09M,5.36%
2000-01-20,35.0,35.97,36.34,34.66,28.18M,-1.66%
2000-01-21,35.31,35.41,35.69,34.45,30.85M,0.89%
2000-01-24,35.12,35.08,36.66,35.06,25.35M,-0.54%
2000-01-25,36.11,35.36,36.33,33.81,32.86M,2.82%
2000-01-26,33.58,36.02,36.11,33.52,27.23M,-7.01%
2000-01-27,33.88,34.3,35.08,33.34,26.99M,0.89%
2000-01-28,32.44,33.66,34.59,32.14,31.50M,-4.25%
2000-01-31,34.31,32.17,34.39,32.06,30.35M,5.76%
2000-02-01,35.12,33.44,35.34,33.31,22.79M,2.36%
2000-02-02,35.95,35.02,36.78,34.91,27.90M,2.36%
2000-02-03,37.12,36.23,37.5,36.23,23.60M,3.25%
2000-02-04,36.34,37.41,37.72,36.22,19.00M,-2.10%
2000-02-07,38.41,36.38,38.55,36.0,21.44M,5.70%
2000-02-08,40.28,38.69,40.38,38.12,37.10M,4.87%
2000-02-09,40.93,39.8,42.14,39.78,37.76M,1.61%
2000-02-10,43.69,40.94,43.69,40.31,27.66M,6.74%
2000-02-11,41.25,43.22,43.58,40.88,33.14M,-5.58%
2000-02-14,40.27,41.91,42.41,39.94,30.71M,-2.38%
2000-02-15,41.62,40.97,42.31,39.95,41.10M,3.35%
2000-02-16,43.34,43.75,44.44,42.88,50.97M,4.13%
2000-02-17,47.09,43.52,47.23,42.47,47.54M,8.65%
2000-02-18,44.44,47.08,47.44,44.25,35.27M,-5.63%
2000-02-22,44.7,44.09,46.0,43.36,30.18M,0.59%
2000-02-23,45.25,44.62,46.06,44.41,24.00M,1.23%
2000-02-24,45.88,45.06,46.69,44.69,27.14M,1.39%
2000-02-25,43.08,45.92,46.34,42.75,26.22M,-6.10%
2000-02-28,44.22,43.44,44.81,41.78,34.05M,2.65%
2000-02-29,45.73,45.0,46.12,44.91,27.23M,3.41%
2000-03-01,46.16,45.88,46.38,45.36,19.69M,0.94%
2000-03-02,45.13,45.81,46.72,45.06,17.37M,-2.23%
2000-03-03,47.69,46.09,47.75,45.97,23.43M,5.67%
2000-03-06,46.0,47.8,48.34,45.39,21.45M,-3.54%
2000-03-07,46.03,46.56,47.92,45.88,24.90M,0.07%
2000-03-08,44.83,46.37,46.44,43.27,32.93M,-2.61%
2000-03-09,47.58,44.62,47.62,43.52,22.63M,6.13%
2000-03-10,48.27,47.03,49.23,46.73,24.83M,1.45%
2000-03-13,46.98,46.37,47.75,46.12,27.82M,-2.67%
2000-03-14,44.69,47.88,48.06,44.62,34.93M,-4.87%
2000-03-15,42.8,44.72,45.19,42.12,50.15M,-4.23%
2000-03-16,43.97,43.75,45.38,40.75,31.68M,2.73%
2000-03-17,47.93,45.06,48.28,44.97,25.24M,9.01%
2000-03-20,47.0,47.59,48.75,46.56,22.01M,-1.94%
2000-03-21,49.0,47.22,49.44,46.0,19.91M,4.26%
2000-03-22,52.38,48.97,52.56,48.5,18.57M,6.90%
2000-03-23,51.22,52.12,54.62,51.0,19.09M,-2.21%
2000-03-24,53.41,52.72,55.0,51.75,21.55M,4.28%
2000-03-27,54.28,53.97,55.0,52.75,14.46M,1.63%
2000-03-28,51.03,53.94,54.12,50.5,18.76M,-5.99%
2000-03-29,48.41,51.31,51.34,48.06,22.67M,-5.13%
2000-03-30,46.5,47.31,49.0,43.62,28.13M,-3.95%
2000-03-31,47.12,47.0,48.47,44.06,34.75M,1.33%
2000-04-03,44.62,47.78,48.38,43.5,25.76M,-5.31%
2000-04-04,49.06,46.69,50.12,42.5,47.59M,9.95%
2000-04-05,52.09,48.12,55.12,48.0,43.66M,6.18%
2000-04-06,53.34,53.25,55.62,52.19,27.91M,2.40%
2000-04-07,57.44,54.0,57.5,53.56,24.50M,7.69%
2000-04-10,51.69,57.19,57.31,51.62,31.96M,-10.01%
2000-04-11,52.31,50.88,55.62,49.84,38.13M,1.20%
2000-04-12,48.78,53.53,54.38,47.56,38.65M,-6.75%
2000-04-13,44.5,50.5,51.12,44.47,50.30M,-8.77%
2000-04-14,40.16,44.16,44.16,39.0,56.50M,-9.75%
2000-04-17,48.31,40.56,48.34,39.47,42.18M,20.29%
2000-04-18,50.5,48.5,50.56,47.5,35.03M,4.53%
2000-04-19,45.75,50.97,51.0,45.06,26.40M,-9.41%
2000-04-20,46.56,46.81,47.47,45.31,22.05M,1.77%
2000-04-24,45.62,44.12,46.0,42.5,27.60M,-2.02%
2000-04-25,47.66,46.88,48.53,46.19,29.23M,4.47%
2000-04-26,45.22,47.94,50.0,44.91,28.79M,-5.12%
2000-04-27,50.16,44.56,51.12,44.31,34.26M,10.92%
2000-04-28,50.91,51.47,52.97,50.25,28.24M,1.50%
2000-05-01,49.97,51.84,52.38,49.19,23.93M,-1.85%
2000-05-02,48.06,49.56,51.62,48.0,20.80M,-3.82%
2000-05-03,47.25,47.75,48.25,45.0,25.26M,-1.69%
2000-05-04,48.88,48.38,49.44,46.88,30.63M,3.45%
2000-05-05,50.94,50.28,51.44,50.12,28.78M,4.21%
2000-05-08,47.84,50.28,51.5,47.47,30.61M,-6.09%
2000-05-09,45.31,48.53,48.81,45.12,34.37M,-5.29%
2000-05-10,42.31,44.91,45.12,41.75,65.73M,-6.62%
2000-05-11,42.62,41.5,43.38,39.91,79.71M,0.73%
2000-05-12,42.22,43.41,44.75,41.88,28.63M,-0.94%
2000-05-15,44.5,42.25,44.5,40.81,21.82M,5.40%
2000-05-16,46.47,45.91,47.12,44.75,30.44M,4.43%
2000-05-17,44.81,45.44,47.0,44.75,27.82M,-3.57%
2000-05-18,42.5,45.28,45.38,42.41,21.19M,-5.16%
2000-05-19,40.09,42.25,42.75,39.62,37.00M,-5.67%
2000-05-22,39.66,40.38,40.5,35.81,49.38M,-1.07%
2000-05-23,35.94,39.06,40.16,35.75,41.47M,-9.38%
2000-05-24,39.22,36.06,39.97,34.41,51.91M,9.13%
2000-05-25,38.34,39.62,42.0,37.5,41.08M,-2.24%
2000-05-26,37.16,38.62,39.5,36.41,22.06M,-3.08%
2000-05-30,42.47,38.88,42.56,38.72,28.43M,14.29%
2000-05-31,41.75,42.38,43.88,41.53,33.10M,-1.70%
2000-06-01,43.88,43.0,44.62,42.75,26.07M,5.10%
2000-06-02,46.78,47.38,47.75,46.19,28.36M,6.61%
2000-06-05,46.81,45.75,47.75,45.0,24.25M,0.06%
2000-06-06,44.66,46.62,47.53,44.5,20.78M,-4.59%
2000-06-07,46.78,45.19,46.91,44.72,20.22M,4.75%
2000-06-08,46.34,47.44,47.88,45.62,14.85M,-0.94%
2000-06-09,47.44,47.78,47.81,46.84,14.52M,2.37%
2000-06-12,45.53,47.5,47.5,45.25,11.97M,-4.03%
2000-06-13,46.06,45.5,46.31,44.5,19.83M,1.16%
2000-06-14,43.03,46.16,46.25,43.0,20.30M,-6.58%
2000-06-15,44.22,43.33,44.69,43.06,24.22M,2.77%
2000-06-16,46.53,45.09,46.81,43.53,30.45M,5.22%
2000-06-19,48.25,46.06,48.31,45.31,23.07M,3.70%
2000-06-20,48.09,48.47,49.25,47.25,25.56M,-0.33%
2000-06-21,48.97,47.29,49.03,47.0,19.09M,1.83%
2000-06-22,46.94,48.78,48.91,46.88,16.08M,-4.15%
2000-06-23,45.38,47.38,47.5,45.12,17.04M,-3.32%
2000-06-26,44.75,46.19,46.19,44.59,16.53M,-1.39%
2000-06-27,44.06,45.06,45.62,43.38,18.51M,-1.54%
2000-06-28,45.28,44.66,46.5,43.81,19.14M,2.77%
2000-06-29,44.53,44.75,45.47,43.81,17.77M,-1.66%
2000-06-30,45.31,44.25,45.94,44.19,14.95M,1.75%
2000-07-03,46.28,45.41,46.31,45.31,5.49M,2.14%
2000-07-05,41.72,44.75,44.75,41.38,42.01M,-9.85%
2000-07-06,43.34,42.22,43.75,41.31,34.00M,3.88%
2000-07-07,44.78,44.66,45.47,44.25,20.45M,3.32%
2000-07-10,44.31,43.72,45.97,42.5,31.37M,-1.05%
2000-07-11,43.5,44.59,45.5,43.12,30.02M,-1.83%
2000-07-12,44.5,44.38,45.5,43.88,21.06M,2.30%
2000-07-13,43.88,45.06,45.47,43.12,20.51M,-1.39%
2000-07-14,44.34,44.69,44.97,43.69,15.46M,1.05%
2000-07-17,47.0,44.41,47.25,44.34,27.97M,6.00%
2000-07-18,44.44,45.94,46.62,44.19,26.23M,-5.45%
2000-07-19,43.34,44.16,44.25,42.69,19.48M,-2.48%
2000-07-20,41.59,43.72,44.59,40.69,36.38M,-4.04%
2000-07-21,39.06,40.91,40.94,38.91,37.72M,-6.08%
2000-07-24,40.25,39.97,41.12,39.06,30.31M,3.05%
2000-07-25,42.25,41.06,42.44,40.53,22.66M,4.97%
2000-07-26,40.94,41.38,41.69,39.81,39.00M,-3.10%
2000-07-27,37.16,39.97,40.22,36.88,46.77M,-9.23%
2000-07-28,37.0,37.84,38.69,36.0,44.72M,-0.43%
2000-07-31,37.94,37.53,38.75,36.44,27.35M,2.54%
2000-08-01,37.28,38.53,38.62,36.94,20.92M,-1.74%
2000-08-02,36.28,37.34,38.72,36.22,24.67M,-2.68%
2000-08-03,34.5,33.12,36.0,32.38,85.58M,-4.91%
2000-08-04,33.88,35.62,35.75,32.97,44.51M,-1.80%
2000-08-07,34.97,34.47,35.5,33.89,35.85M,3.22%
2000-08-08,35.28,35.56,35.88,34.53,25.57M,0.89%
2000-08-09,36.06,36.62,37.25,36.0,51.37M,2.21%
2000-08-10,34.62,35.59,36.59,34.22,59.78M,-3.99%
2000-08-11,34.59,34.41,34.97,33.25,26.84M,-0.09%
