Date,Price,Open,High,Low,Vol.,Change %
2000-01-03,11.17,11.47,11.47,11.17,57.62K,-2.62%
2000-01-04,11.58,11.68,11.68,11.5,94.58K,3.67%
2000-01-05,11.71,11.55,11.71,11.44,198.46K,1.12%
2000-01-06,11.52,11.6,11.66,11.39,40.89K,-1.62%
2000-01-07,12.31,11.87,12.31,11.87,247.61K,6.86%
2000-01-10,12.2,12.2,12.31,12.12,86.11K,-0.89%
2000-01-11,11.66,11.77,11.87,11.63,56.17K,-4.43%
2000-01-12,11.68,11.71,11.77,11.55,133.61K,0.17%
2000-01-13,11.77,11.79,11.79,11.6,76.41K,0.77%
2000-01-14,11.77,11.74,11.77,11.71,17.55K,0.00%
2000-01-18,11.55,11.44,11.55,11.25,53.90K,-1.87%
2000-01-19,11.31,11.36,11.36,11.17,35.11K,-2.08%
2000-01-20,11.6,11.44,11.68,11.44,23.34K,2.56%
2000-01-21,11.23,11.39,11.39,11.23,46.88K,-3.19%
2000-01-24,10.9,11.12,11.12,10.9,149.51K,-2.94%
2000-01-25,10.9,10.96,11.12,10.9,26.02K,0.00%
2000-01-26,10.77,10.9,10.98,10.77,46.88K,-1.19%
2000-01-27,10.66,10.69,10.79,10.58,37.17K,-1.02%
2000-01-28,10.31,10.69,10.69,10.31,29.12K,-3.28%
2000-01-31,10.23,10.2,10.31,10.07,106.35K,-0.78%
2000-02-01,10.25,10.23,10.25,10.09,53.28K,0.20%
2000-02-02,10.2,10.25,10.25,10.2,53.28K,-0.49%
2000-02-03,10.09,10.23,10.23,10.04,15.49K,-1.08%
2000-02-04,10.2,10.09,10.2,9.88,27.26K,1.09%
2000-02-07,10.12,10.25,10.36,10.09,137.54K,-0.78%
2000-02-08,10.28,10.36,10.42,10.25,25.81K,1.58%
2000-02-09,9.82,9.96,9.96,9.82,49.15K,-4.47%
2000-02-10,9.63,9.66,9.66,9.55,22.51K,-1.93%
2000-02-11,9.47,9.39,9.55,9.39,51.63K,-1.66%
2000-02-14,9.36,9.2,9.47,9.2,59.68K,-1.16%
2000-02-15,9.58,9.55,9.69,9.47,103.87K,2.35%
2000-02-16,9.5,9.39,9.5,9.31,35.11K,-0.84%
2000-02-17,9.44,9.36,9.44,9.28,122.25K,-0.63%
2000-02-18,9.09,9.17,9.23,9.01,59.47K,-3.71%
2000-02-22,9.34,9.12,9.36,9.12,239.76K,2.75%
2000-02-23,8.91,8.96,9.01,8.85,198.87K,-4.60%
2000-02-24,8.99,8.91,9.28,8.91,393.61K,0.90%
2000-02-25,9.09,8.96,9.2,8.96,248.64K,1.11%
2000-02-28,8.61,8.58,8.64,8.47,127.21K,-5.28%
2000-02-29,8.64,8.61,8.64,8.5,226.54K,0.35%
2000-03-01,8.58,8.53,8.58,8.5,70.21K,-0.69%
2000-03-02,8.74,8.69,8.8,8.64,61.33K,1.86%
2000-03-03,8.72,8.69,8.74,8.58,30.36K,-0.23%
2000-03-06,8.1,8.37,8.37,8.1,101.19K,-7.11%
2000-03-07,8.58,8.47,8.61,8.45,24.57K,5.93%
2000-03-08,8.58,8.53,8.66,8.47,58.86K,0.00%
2000-03-09,8.96,8.91,8.96,8.82,47.50K,4.43%
2000-03-10,8.91,9.01,9.01,8.91,46.88K,-0.56%
2000-03-13,9.01,8.96,9.12,8.96,47.08K,1.12%
2000-03-14,9.31,9.39,9.39,9.31,27.67K,3.33%
2000-03-15,9.39,9.23,9.42,9.2,50.18K,0.86%
2000-03-16,9.69,9.55,9.77,9.55,99.12K,3.19%
2000-03-17,9.26,9.5,9.5,9.23,20.86K,-4.44%
2000-03-20,9.47,9.39,9.53,9.26,99.33K,2.27%
2000-03-21,9.31,9.39,9.47,9.31,46.67K,-1.69%
2000-03-22,9.39,9.31,9.39,9.23,107.59K,0.86%
2000-03-23,9.28,9.12,9.28,9.09,50.80K,-1.17%
2000-03-24,9.31,9.07,9.31,9.07,29.53K,0.32%
2000-03-27,9.23,9.15,9.28,9.12,170.37K,-0.86%
2000-03-28,9.31,9.23,9.39,9.17,36.35K,0.87%
2000-03-29,9.44,9.23,9.44,9.2,43.99K,1.40%
2000-03-30,9.55,9.44,9.55,9.39,19.62K,1.17%
2000-03-31,9.39,9.28,9.42,9.28,64.64K,-1.68%
2000-04-03,9.8,9.5,9.85,9.5,34.28K,4.37%
2000-04-04,9.9,9.82,9.9,9.77,134.64K,1.02%
2000-04-05,9.8,9.9,9.9,9.77,27.26K,-1.01%
2000-04-06,9.88,9.88,9.9,9.77,24.99K,0.82%
2000-04-07,9.71,9.82,9.82,9.63,13.01K,-1.72%
2000-04-10,9.34,9.39,9.39,9.2,28.29K,-3.81%
2000-04-11,9.12,9.23,9.28,9.07,112.55K,-2.36%
2000-04-12,9.36,9.17,9.44,9.17,48.74K,2.63%
2000-04-13,9.07,9.28,9.39,9.07,66.91K,-3.10%
2000-04-14,8.85,9.04,9.04,8.85,32.42K,-2.43%
2000-04-17,8.85,8.85,8.96,8.74,41.92K,0.00%
2000-04-18,9.01,8.96,9.17,8.93,92.10K,1.81%
2000-04-19,9.17,9.17,9.31,9.09,23.13K,1.78%
2000-04-20,9.07,9.12,9.12,9.01,25.81K,-1.09%
2000-04-24,9.07,9.01,9.17,8.99,53.28K,0.00%
2000-04-25,9.44,9.07,9.44,9.01,73.52K,4.08%
2000-04-26,9.44,9.34,9.44,9.28,33.25K,0.00%
2000-04-27,9.58,9.39,9.61,9.34,58.44K,1.48%
2000-04-28,9.15,9.28,9.34,9.15,33.45K,-4.49%
2000-05-01,9.26,9.04,9.26,8.99,53.28K,1.20%
2000-05-02,9.93,9.36,9.93,9.36,210.64K,7.24%
2000-05-03,9.23,9.44,9.44,9.2,64.43K,-7.05%
