Date,Price,Open,High,Low,Vol.,Change %
2000-01-03,24.31,24.44,24.5,23.84,5.06M,3.31%
2000-01-04,24.0,24.06,24.88,24.0,6.18M,-1.28%
2000-01-05,24.56,24.03,25.09,24.0,6.40M,2.33%
2000-01-06,25.81,25.5,26.12,25.28,5.14M,5.09%
2000-01-07,26.66,26.44,27.56,26.38,6.36M,3.29%
2000-01-10,25.78,27.03,27.28,25.75,3.68M,-3.30%
2000-01-11,25.38,25.81,26.59,25.38,3.95M,-1.55%
2000-01-12,25.81,25.75,26.16,25.56,3.40M,1.69%
2000-01-13,26.09,26.59,26.69,26.03,3.13M,1.08%
2000-01-14,25.97,26.03,26.44,25.94,3.04M,-0.46%
2000-01-18,24.97,25.78,25.88,24.94,4.05M,-3.85%
2000-01-19,24.66,24.97,25.34,24.66,3.42M,-1.24%
2000-01-20,23.56,24.78,24.97,23.53,4.28M,-4.46%
2000-01-21,23.69,23.59,23.97,22.81,5.00M,0.55%
2000-01-24,22.66,23.5,23.62,22.53,5.39M,-4.35%
2000-01-25,21.81,22.41,22.5,21.28,6.08M,-3.75%
2000-01-26,22.47,21.69,22.84,21.69,4.19M,3.03%
2000-01-27,22.28,22.47,22.78,22.0,3.34M,-0.85%
2000-01-28,21.75,22.06,22.59,21.75,4.85M,-2.38%
2000-01-31,21.22,21.56,21.97,21.22,3.71M,-2.44%
2000-02-01,21.59,21.38,22.03,21.38,2.93M,1.74%
2000-02-02,21.72,22.25,22.38,21.44,2.93M,0.60%
2000-02-03,21.16,21.59,21.62,21.06,4.34M,-2.58%
2000-02-04,21.16,21.25,21.41,20.62,4.12M,0.00%
2000-02-07,20.62,20.81,20.91,20.38,4.09M,-2.55%
2000-02-08,20.5,20.75,20.75,20.0,5.85M,-0.58%
2000-02-09,19.56,20.0,20.59,19.56,5.93M,-4.59%
2000-02-10,19.03,19.53,19.78,18.81,5.81M,-2.71%
2000-02-11,18.0,18.62,18.94,17.44,11.94M,-5.41%
2000-02-14,19.31,18.5,19.47,18.12,6.79M,7.28%
2000-02-15,20.0,19.44,20.38,19.31,6.05M,3.57%
2000-02-16,19.59,19.88,20.31,19.41,3.88M,-2.05%
2000-02-17,19.34,19.56,19.56,18.84,3.82M,-1.28%
2000-02-18,18.84,19.12,19.19,18.69,3.02M,-2.59%
2000-02-22,19.16,18.97,19.44,18.75,4.03M,1.70%
2000-02-23,18.91,19.19,19.34,18.59,4.89M,-1.30%
2000-02-24,18.12,18.91,18.94,18.12,4.49M,-4.18%
2000-02-25,18.0,18.16,18.75,17.94,4.14M,-0.66%
2000-02-28,17.78,18.0,18.31,17.69,3.32M,-1.22%
2000-02-29,17.53,17.53,18.22,17.5,4.81M,-1.41%
2000-03-01,17.44,17.56,17.91,17.44,4.84M,-0.51%
2000-03-02,17.22,17.41,17.5,17.09,3.96M,-1.26%
2000-03-03,18.19,17.25,18.66,17.25,4.81M,5.63%
2000-03-06,18.34,18.59,19.0,18.22,5.26M,0.82%
2000-03-07,16.91,18.25,18.25,16.75,8.78M,-7.80%
2000-03-08,17.47,17.66,18.22,17.31,5.77M,3.31%
2000-03-09,17.62,17.47,17.69,17.12,4.90M,0.86%
