Date,Price,Open,High,Low,Vol.,Change %
2000-01-03,41.81,42.94,42.94,41.28,4.39M,-3.46%
2000-01-04,41.81,41.47,42.06,41.25,3.70M,0.00%
2000-01-05,42.56,41.53,43.28,41.53,5.57M,1.79%
2000-01-06,44.38,42.66,44.59,42.66,4.35M,4.28%
2000-01-07,45.16,45.0,45.44,44.5,4.49M,1.76%
2000-01-10,43.94,45.03,45.03,43.84,2.10M,-2.70%
2000-01-11,43.53,43.94,44.44,43.47,2.79M,-0.93%
2000-01-12,43.38,43.53,43.81,42.94,2.99M,-0.34%
2000-01-13,43.78,43.25,44.62,43.06,3.25M,0.92%
2000-01-14,43.5,42.91,43.72,42.78,3.67M,-0.64%
2000-01-18,44.66,43.75,44.75,43.47,4.32M,2.67%
2000-01-19,43.97,44.5,44.5,43.88,5.03M,-1.55%
2000-01-20,43.75,44.09,44.09,43.41,3.42M,-0.50%
2000-01-21,44.28,43.94,44.94,43.91,3.95M,1.21%
2000-01-24,44.41,44.75,45.19,43.97,3.54M,0.29%
2000-01-25,44.28,44.41,45.25,43.81,3.85M,-0.29%
2000-01-26,43.88,44.62,44.88,43.25,2.68M,-0.90%
2000-01-27,42.16,43.66,43.81,41.78,3.55M,-3.92%
2000-01-28,41.28,41.78,41.84,40.94,4.07M,-2.09%
2000-01-31,41.81,41.03,41.97,40.38,3.66M,1.28%
2000-02-01,41.59,41.69,42.22,41.25,2.61M,-0.53%
2000-02-02,41.31,41.34,41.97,41.22,3.42M,-0.67%
2000-02-03,40.72,41.06,41.25,40.31,3.51M,-1.43%
2000-02-04,39.28,40.62,40.62,39.19,4.22M,-3.54%
2000-02-07,39.53,39.56,40.0,39.22,3.14M,0.64%
2000-02-08,39.16,40.06,40.34,39.16,3.57M,-0.94%
2000-02-09,37.5,39.22,39.34,37.47,4.80M,-4.24%
2000-02-10,38.41,37.78,38.72,37.44,3.83M,2.43%
2000-02-11,37.0,38.69,38.81,36.09,5.02M,-3.67%
2000-02-14,36.91,37.09,37.72,36.81,5.04M,-0.24%
2000-02-15,38.75,37.22,38.84,37.22,6.14M,4.99%
2000-02-16,38.91,38.88,39.47,38.66,4.75M,0.41%
2000-02-17,38.88,39.06,39.09,38.28,3.74M,-0.08%
2000-02-18,38.09,38.75,38.88,37.91,3.57M,-2.03%
2000-02-22,37.84,37.53,38.09,37.12,3.53M,-0.66%
2000-02-23,36.62,37.5,37.53,36.41,3.77M,-3.22%
2000-02-24,35.72,36.66,36.78,35.69,5.42M,-2.46%
2000-02-25,35.53,36.0,36.38,34.97,6.45M,-0.53%
2000-02-28,37.28,35.53,37.47,35.44,5.10M,4.93%
2000-02-29,37.34,37.28,37.72,36.72,4.30M,0.16%
2000-03-01,37.62,37.28,37.81,36.31,4.63M,0.75%
2000-03-02,37.84,37.69,38.72,37.47,4.05M,0.58%
2000-03-03,37.28,37.28,37.69,36.78,4.64M,-1.48%
2000-03-06,37.0,37.22,37.38,36.84,2.81M,-0.75%
2000-03-07,40.5,37.28,41.0,37.25,5.60M,9.46%
2000-03-08,40.53,40.06,42.19,39.88,7.26M,0.07%
