Date,Price,Open,High,Low,Vol.,Change %
2000-01-03,35.49,36.67,37.0,35.12,5.79M,-3.59%
2000-01-04,33.42,35.54,36.06,32.85,7.17M,-5.83%
2000-01-05,33.94,33.98,34.17,33.56,9.09M,1.56%
2000-01-06,33.04,33.65,33.98,32.57,7.15M,-2.65%
2000-01-07,33.32,33.65,33.79,32.76,5.89M,0.85%
2000-01-10,33.79,33.79,33.98,33.42,7.12M,1.41%
2000-01-11,33.32,33.75,33.94,33.09,6.47M,-1.39%
2000-01-12,31.58,32.85,32.9,31.34,8.92M,-5.22%
2000-01-13,30.82,32.0,32.43,30.77,8.25M,-2.41%
2000-01-14,31.72,31.15,31.72,30.21,9.89M,2.92%
2000-01-18,31.06,31.81,32.52,30.87,9.82M,-2.08%
2000-01-19,30.63,30.96,30.96,30.21,10.21M,-1.38%
2000-01-20,30.96,30.82,31.39,30.25,10.08M,1.08%
2000-01-21,32.47,32.38,32.76,31.72,15.95M,4.88%
2000-01-24,31.72,32.8,32.85,30.92,9.98M,-2.31%
2000-01-25,30.21,30.96,31.06,29.12,15.94M,-4.76%
2000-01-26,30.21,30.58,30.58,29.97,7.66M,0.00%
2000-01-27,29.45,30.25,30.44,29.45,6.92M,-2.52%
2000-01-28,29.64,29.69,30.54,29.45,8.65M,0.65%
2000-01-31,32.38,29.83,32.85,29.5,11.26M,9.24%
2000-02-01,32.0,32.47,32.47,31.53,8.95M,-1.17%
2000-02-02,32.1,32.47,32.57,32.1,6.68M,0.31%
2000-02-03,31.72,32.47,32.61,31.2,7.71M,-1.18%
2000-02-04,31.72,31.72,32.0,31.39,6.77M,0.00%
2000-02-07,31.62,31.25,31.95,31.01,5.80M,-0.32%
2000-02-08,31.76,32.1,32.47,31.72,5.67M,0.44%
2000-02-09,32.19,31.95,32.33,31.72,6.81M,1.35%
2000-02-10,31.81,32.0,32.05,31.67,5.15M,-1.18%
2000-02-11,30.54,31.72,31.76,30.02,5.58M,-3.99%
2000-02-14,30.87,29.83,31.34,29.78,8.46M,1.08%
2000-02-15,30.73,30.21,30.96,29.88,8.19M,-0.45%
2000-02-16,29.5,30.49,30.73,29.26,8.48M,-4.00%
2000-02-17,30.21,29.4,30.21,28.7,9.27M,2.41%
2000-02-18,28.89,28.74,28.89,27.19,13.92M,-4.37%
2000-02-22,27.56,28.13,28.18,26.86,14.06M,-4.60%
2000-02-23,27.0,27.19,27.56,26.29,12.88M,-2.03%
2000-02-24,26.81,26.76,27.09,26.29,12.89M,-0.70%
2000-02-25,26.76,27.19,27.71,26.38,11.36M,-0.19%
2000-02-28,27.94,27.0,28.32,27.0,11.26M,4.41%
2000-02-29,28.51,28.08,28.79,28.04,8.58M,2.04%
2000-03-01,31.72,30.25,31.72,30.02,15.27M,11.26%
2000-03-02,34.17,32.47,34.74,32.33,14.98M,7.72%
2000-03-03,34.41,34.36,34.74,33.37,8.89M,0.70%
2000-03-06,32.76,33.65,33.65,32.28,6.43M,-4.80%
2000-03-07,31.62,32.9,33.61,31.62,6.85M,-3.48%
2000-03-08,31.43,31.62,31.76,31.25,6.80M,-0.60%
2000-03-09,31.39,31.25,31.43,30.68,5.97M,-0.13%
2000-03-10,31.72,31.39,32.1,31.29,7.41M,1.05%
2000-03-13,32.99,31.15,33.23,31.01,6.48M,4.00%
2000-03-14,31.81,33.04,33.04,31.72,6.64M,-3.58%
2000-03-15,32.1,32.19,32.47,31.95,7.04M,0.91%
2000-03-16,34.08,33.18,34.36,32.43,9.51M,6.17%
2000-03-17,34.55,34.27,35.35,34.08,9.07M,1.38%
2000-03-20,33.56,34.08,34.55,33.37,4.63M,-2.87%
2000-03-21,34.17,33.65,34.27,33.09,4.40M,1.82%
2000-03-22,32.71,33.51,33.94,32.47,5.05M,-4.27%
2000-03-23,32.9,32.05,33.23,32.0,5.53M,0.58%
2000-03-24,32.47,32.52,32.99,32.14,5.13M,-1.31%
2000-03-27,32.61,32.57,32.94,32.05,5.88M,0.43%
2000-03-28,32.1,32.24,32.76,32.05,6.26M,-1.56%
2000-03-29,31.91,32.43,33.13,31.67,6.82M,-0.59%
2000-03-30,31.43,32.47,32.76,31.39,8.87M,-1.50%
2000-03-31,31.81,32.1,32.47,31.72,7.64M,1.21%
2000-04-03,33.79,32.1,33.89,32.05,7.71M,6.22%
2000-04-04,34.74,33.98,35.63,33.79,10.79M,2.81%
2000-04-05,34.97,34.74,35.59,34.64,8.13M,0.66%
2000-04-06,35.19,34.79,35.73,34.74,5.80M,0.63%
2000-04-07,35.02,35.49,35.63,34.22,5.17M,-0.48%
2000-04-10,34.93,34.74,35.07,34.41,4.22M,-0.26%
2000-04-11,35.68,34.97,36.44,34.79,6.52M,2.15%
2000-04-12,35.49,36.2,37.0,35.49,7.79M,-0.53%
2000-04-13,35.49,35.73,35.73,34.74,5.75M,0.00%
2000-04-14,32.19,34.45,35.21,31.72,7.49M,-9.30%
2000-04-17,31.62,32.85,32.9,30.87,7.51M,-1.77%
2000-04-18,31.34,31.06,31.67,30.54,6.75M,-0.89%
2000-04-19,31.67,31.29,32.19,31.06,7.17M,1.05%
2000-04-20,31.1,31.72,32.0,30.92,3.88M,-1.80%
2000-04-24,31.91,31.1,32.05,30.96,4.91M,2.60%
2000-04-25,33.94,32.33,34.31,32.05,9.33M,6.36%
2000-04-26,33.23,33.98,34.12,32.85,7.45M,-2.09%
2000-04-27,32.66,33.04,33.42,32.47,7.16M,-1.72%
2000-04-28,33.09,32.85,33.46,32.66,7.25M,1.32%
2000-05-01,33.7,33.32,34.08,32.99,7.14M,1.84%
2000-05-02,32.0,33.61,33.61,31.53,7.20M,-5.04%
2000-05-03,31.67,31.95,32.24,31.48,4.75M,-1.03%
2000-05-04,31.01,31.72,31.72,30.82,4.53M,-2.08%
2000-05-05,32.47,31.01,32.61,31.01,4.67M,4.71%
2000-05-08,32.38,32.19,32.43,31.62,4.00M,-0.28%
2000-05-09,31.95,32.0,32.85,31.62,4.81M,-1.33%
2000-05-10,34.08,32.1,34.74,31.91,8.30M,6.67%
2000-05-11,34.41,34.22,34.69,34.12,5.16M,0.97%
2000-05-12,33.86,33.75,33.98,33.37,3.48M,-1.60%
2000-05-15,34.74,33.51,35.3,33.23,4.82M,2.60%
2000-05-16,34.5,35.12,35.78,34.22,4.46M,-0.69%
2000-05-17,34.22,34.12,34.31,33.84,3.36M,-0.81%
2000-05-18,33.42,34.03,34.41,33.18,3.67M,-2.34%
2000-05-19,32.24,32.38,32.99,32.0,5.75M,-3.53%
2000-05-22,32.1,32.94,32.94,31.53,4.49M,-0.43%
2000-05-23,31.58,31.91,32.05,31.53,4.51M,-1.62%
2000-05-24,32.57,31.76,32.71,31.76,4.96M,3.13%
2000-05-25,31.76,32.1,32.61,31.39,4.47M,-2.49%
2000-05-26,32.19,31.76,32.52,31.76,3.36M,1.35%
2000-05-30,33.42,32.66,33.42,32.28,4.19M,3.82%
2000-05-31,32.99,33.23,33.46,32.66,4.42M,-1.29%
2000-06-01,33.23,33.32,33.89,33.23,4.15M,0.73%
2000-06-02,33.98,33.98,34.31,33.79,5.28M,2.26%
2000-06-05,33.46,34.22,34.22,33.46,3.31M,-1.53%
2000-06-06,34.22,33.75,35.02,33.7,5.29M,2.27%
2000-06-07,35.02,34.17,35.3,34.03,4.65M,2.34%
2000-06-08,35.49,35.02,35.73,34.97,4.52M,1.34%
2000-06-09,36.34,35.68,36.34,35.59,5.09M,2.40%
2000-06-12,35.35,35.78,36.01,35.21,3.89M,-2.72%
2000-06-13,36.25,35.12,36.3,35.12,4.19M,2.55%
2000-06-14,37.76,36.91,37.99,36.67,8.27M,4.17%
2000-06-15,36.77,37.29,37.71,36.34,6.23M,-2.62%
2000-06-16,35.68,36.72,36.91,35.63,8.19M,-2.96%
2000-06-19,35.87,35.68,36.77,35.68,5.09M,0.53%
