Date,Price,Open,High,Low,Vol.,Change %
2000-01-03,35.3,36.5,36.58,34.82,873.50K,-3.55%
2000-01-04,34.08,34.5,34.66,33.9,1.38M,-3.46%
2000-01-05,34.64,34.14,35.46,33.9,997.00K,1.64%
2000-01-06,36.08,34.9,36.08,34.54,917.00K,4.16%
2000-01-07,36.4,36.6,36.96,36.1,1.00M,0.89%
2000-01-10,36.26,36.9,37.76,36.12,1.01M,-0.38%
2000-01-11,35.58,35.8,35.96,35.3,722.50K,-1.88%
2000-01-12,34.9,35.5,35.68,34.72,515.50K,-1.91%
2000-01-13,35.2,35.2,35.46,35.02,613.50K,0.86%
2000-01-14,34.02,35.6,35.7,34.02,1.34M,-3.35%
2000-01-18,34.0,34.08,34.38,33.8,1.37M,-0.06%
2000-01-19,34.18,34.1,34.26,33.54,883.50K,0.53%
2000-01-20,34.0,34.18,34.68,34.0,814.50K,-0.53%
2000-01-21,34.22,34.0,34.26,33.88,707.50K,0.65%
2000-01-24,34.0,34.7,34.8,33.76,660.50K,-0.64%
2000-01-25,34.06,33.9,34.46,33.8,623.50K,0.18%
2000-01-26,34.14,34.16,34.48,34.0,530.00K,0.23%
2000-01-27,33.92,34.14,34.4,33.72,470.00K,-0.64%
2000-01-28,33.2,33.8,33.86,33.08,984.00K,-2.12%
2000-01-31,32.92,33.24,33.66,32.92,1.12M,-0.84%
2000-02-01,33.5,33.32,33.56,33.06,527.00K,1.76%
2000-02-02,32.8,33.3,33.36,32.7,1.04M,-2.09%
2000-02-03,33.4,33.0,33.48,33.0,600.00K,1.83%
2000-02-04,33.1,33.54,33.66,33.0,620.00K,-0.90%
2000-02-07,33.28,32.98,33.4,32.82,771.00K,0.54%
2000-02-08,32.7,32.9,33.1,32.6,1.04M,-1.74%
2000-02-09,31.76,32.26,32.76,31.54,1.76M,-2.87%
2000-02-10,30.96,31.9,31.96,30.0,2.22M,-2.52%
2000-02-11,30.14,31.2,31.36,29.7,2.53M,-2.65%
2000-02-14,28.48,29.5,29.58,28.32,2.71M,-5.51%
2000-02-15,30.64,30.4,30.8,30.02,2.29M,7.58%
2000-02-16,33.28,31.34,34.0,31.2,2.22M,8.62%
2000-02-17,33.26,34.0,34.18,32.1,973.50K,-0.06%
2000-02-18,33.72,33.18,33.72,31.0,1.01M,1.38%
2000-02-22,32.4,32.6,32.66,32.0,823.50K,-3.91%
2000-02-23,32.32,32.4,32.58,32.0,611.00K,-0.25%
2000-02-24,30.78,32.1,32.1,30.4,746.00K,-4.76%
2000-02-25,29.8,30.88,30.94,29.6,1.77M,-3.18%
2000-02-28,29.2,29.7,29.76,29.04,2.22M,-2.01%
2000-02-29,28.8,29.6,29.62,28.7,1.90M,-1.37%
2000-03-01,29.34,28.74,29.46,28.74,1.11M,1.88%
2000-03-02,29.36,29.4,29.58,29.04,713.50K,0.07%
2000-03-03,29.38,29.6,29.94,29.2,724.00K,0.07%
2000-03-06,28.9,29.0,29.4,28.68,886.00K,-1.63%
2000-03-07,29.0,29.1,29.22,28.54,951.50K,0.35%
2000-03-08,28.78,29.04,29.04,28.5,1.01M,-0.76%
2000-03-09,28.0,28.5,28.54,27.72,1.80M,-2.71%
2000-03-10,27.4,27.84,28.3,27.02,2.14M,-2.14%
2000-03-13,29.76,29.0,30.12,28.94,1.72M,8.61%
2000-03-14,29.1,29.56,29.84,29.0,1.01M,-2.22%
2000-03-15,32.52,29.44,32.9,29.4,1.63M,11.75%
2000-03-16,34.04,32.9,34.26,32.88,2.37M,4.67%
2000-03-17,34.0,34.08,36.6,33.6,2.12M,-0.12%
2000-03-20,33.56,34.06,34.56,33.1,935.00K,-1.29%
2000-03-21,35.86,33.36,36.04,33.3,1.28M,6.85%
2000-03-22,36.06,35.98,36.36,35.4,846.50K,0.56%
2000-03-23,35.48,36.04,36.66,35.34,647.50K,-1.61%
2000-03-24,35.98,35.88,36.48,35.54,548.00K,1.41%
2000-03-27,34.2,36.1,36.12,33.96,534.50K,-4.95%
2000-03-28,33.34,33.86,33.94,32.94,663.50K,-2.51%
2000-03-29,33.34,33.34,33.4,32.8,489.00K,0.00%
2000-03-30,34.78,33.28,36.04,33.22,1.27M,4.32%
2000-03-31,36.4,35.44,36.5,34.84,1.22M,4.66%
2000-04-03,35.1,36.7,36.72,35.1,771.50K,-3.57%
2000-04-04,36.18,35.5,36.98,35.46,1.41M,3.08%
2000-04-05,36.76,36.4,37.58,36.34,1.09M,1.60%
2000-04-06,37.26,36.9,37.76,36.9,649.00K,1.36%
2000-04-07,36.82,37.2,37.4,36.6,607.00K,-1.18%
2000-04-10,36.42,36.7,36.96,36.32,585.00K,-1.09%
2000-04-11,36.08,36.46,36.58,35.9,590.50K,-0.93%
2000-04-12,37.42,36.0,37.7,35.88,819.00K,3.71%
2000-04-13,37.8,37.92,38.96,37.54,938.00K,1.02%
2000-04-14,36.92,37.32,37.46,36.34,936.00K,-2.33%
2000-04-17,37.18,36.76,37.2,36.4,831.50K,0.70%
2000-04-18,37.7,37.5,38.2,37.3,695.50K,1.40%
2000-04-19,37.6,37.98,38.02,37.32,465.00K,-0.27%
2000-04-20,38.28,37.74,38.32,37.36,256.00K,1.81%
2000-04-24,38.8,38.04,39.04,37.88,589.50K,1.36%
2000-04-25,39.04,39.0,39.16,38.68,340.50K,0.62%
2000-04-26,38.5,39.04,39.04,38.2,276.50K,-1.38%
2000-04-27,38.4,38.0,38.48,37.74,278.50K,-0.26%
2000-04-28,38.32,38.4,38.74,38.2,323.00K,-0.21%
2000-05-01,37.14,38.2,38.26,37.04,519.00K,-3.08%
2000-05-02,34.98,37.04,37.12,34.72,702.00K,-5.82%
2000-05-03,34.9,34.8,34.92,34.5,543.00K,-0.23%
2000-05-04,35.52,34.9,35.58,34.9,303.00K,1.78%
2000-05-05,35.88,35.36,35.98,35.36,199.50K,1.01%
2000-05-08,36.06,36.0,36.18,35.94,142.00K,0.50%
2000-05-09,35.4,36.32,36.38,35.24,399.00K,-1.83%
2000-05-10,35.04,35.04,35.4,33.2,814.50K,-1.02%
2000-05-11,35.44,34.94,35.62,34.94,415.50K,1.14%
2000-05-12,35.46,35.6,35.94,35.34,325.00K,0.06%
2000-05-15,37.8,35.7,38.0,35.08,737.50K,6.60%
2000-05-16,38.5,38.8,39.0,38.32,885.00K,1.85%
2000-05-17,38.02,38.0,38.34,37.64,339.00K,-1.25%
2000-05-18,37.96,38.0,38.26,37.9,289.50K,-0.16%
2000-05-19,37.36,37.76,37.76,37.22,286.00K,-1.58%
2000-05-22,36.52,37.16,37.16,36.42,429.50K,-2.25%
2000-05-23,35.9,36.12,36.58,35.6,402.50K,-1.70%
2000-05-24,36.12,36.2,36.56,34.82,666.00K,0.61%
2000-05-25,36.96,36.02,37.24,36.02,399.00K,2.33%
2000-05-26,36.58,37.1,37.28,36.4,253.00K,-1.03%
2000-05-30,37.94,36.7,38.2,36.7,401.50K,3.72%
2000-05-31,37.72,37.7,38.14,37.56,288.00K,-0.58%
2000-06-01,38.76,37.72,39.0,37.72,587.00K,2.76%
2000-06-02,38.52,38.9,39.4,38.14,968.50K,-0.62%
2000-06-05,38.84,38.52,39.08,38.42,450.00K,0.83%
2000-06-06,38.76,39.1,39.1,38.58,231.50K,-0.21%
2000-06-07,39.28,39.0,39.3,38.82,326.50K,1.34%
2000-06-08,39.12,39.34,39.34,39.08,252.50K,-0.41%
2000-06-09,39.0,39.12,39.5,38.68,289.50K,-0.31%
2000-06-12,38.4,39.1,39.16,38.36,188.00K,-1.54%
2000-06-13,38.66,38.5,38.86,38.5,292.00K,0.68%
2000-06-14,37.48,38.66,38.72,37.34,382.00K,-3.05%
2000-06-15,37.0,37.32,37.5,36.84,299.00K,-1.28%
2000-06-16,36.58,36.96,37.0,36.0,466.00K,-1.14%
2000-06-19,36.96,36.58,37.06,36.2,264.00K,1.04%
2000-06-20,37.06,36.88,37.3,36.74,377.50K,0.27%
