Date,Price,Open,High,Low,Vol.,Change %
2000-01-03,28.19,28.66,29.0,27.62,11.00M,-3.19%
2000-01-04,28.22,27.88,28.41,27.81,7.31M,0.11%
2000-01-05,28.47,28.22,28.72,28.03,9.46M,0.89%
2000-01-06,28.5,28.53,28.84,28.28,7.13M,0.11%
2000-01-07,30.38,29.25,30.38,28.94,11.47M,6.60%
2000-01-10,29.41,30.25,30.47,29.38,8.72M,-3.19%
2000-01-11,30.41,30.47,30.62,30.06,9.40M,3.40%
2000-01-12,30.75,30.41,30.91,30.22,8.39M,1.12%
2000-01-13,30.28,30.72,30.72,30.22,6.11M,-1.53%
2000-01-14,30.53,30.97,30.97,30.34,7.51M,0.83%
2000-01-18,32.5,30.66,32.5,30.53,18.35M,6.45%
2000-01-19,32.62,32.5,32.62,31.88,12.81M,0.37%
2000-01-20,32.94,32.66,32.97,32.56,11.54M,0.98%
2000-01-21,33.44,33.38,33.44,32.88,11.39M,1.52%
2000-01-24,32.44,33.0,33.38,31.78,11.31M,-2.99%
2000-01-25,32.94,32.0,33.03,31.44,9.73M,1.54%
2000-01-26,31.53,32.12,32.75,31.38,23.72M,-4.28%
2000-01-27,29.75,31.31,31.34,29.22,17.55M,-5.65%
2000-01-28,28.47,29.72,29.78,28.47,10.88M,-4.30%
2000-01-31,28.72,28.53,29.38,28.28,10.73M,0.88%
2000-02-01,29.06,28.88,29.19,28.16,8.11M,1.18%
2000-02-02,28.19,28.78,28.94,28.03,7.16M,-2.99%
2000-02-03,27.62,28.25,28.38,27.53,9.46M,-2.02%
2000-02-04,28.12,27.62,28.88,27.53,11.50M,1.81%
2000-02-07,28.44,28.03,28.81,27.78,7.74M,1.14%
2000-02-08,28.59,28.72,28.94,28.38,8.26M,0.53%
2000-02-09,28.5,28.5,28.88,28.38,7.95M,-0.31%
2000-02-10,28.34,28.62,28.69,28.12,8.03M,-0.56%
2000-02-11,27.78,27.88,27.97,27.44,7.69M,-1.98%
2000-02-14,27.12,27.53,27.62,26.91,7.13M,-2.38%
2000-02-15,27.84,26.69,27.88,26.62,7.85M,2.65%
2000-02-16,26.78,27.53,27.72,26.62,6.87M,-3.81%
2000-02-17,26.16,26.75,26.78,25.59,11.66M,-2.32%
2000-02-18,25.69,25.75,26.16,25.38,11.44M,-1.80%
2000-02-22,25.88,25.41,26.31,25.25,10.54M,0.74%
2000-02-23,25.62,25.69,25.72,25.0,11.02M,-1.00%
2000-02-24,24.91,25.19,25.25,24.16,15.45M,-2.77%
2000-02-25,24.34,24.88,25.34,24.03,10.91M,-2.29%
2000-02-28,24.66,24.03,24.84,23.78,10.79M,1.31%
2000-02-29,24.31,24.06,24.41,23.81,10.35M,-1.42%
2000-03-01,25.5,24.59,25.69,24.59,15.61M,4.90%
2000-03-02,24.81,25.59,25.91,24.69,11.36M,-2.71%
2000-03-03,25.06,25.06,25.19,24.53,9.01M,1.01%
2000-03-06,24.5,24.59,24.75,24.16,7.87M,-2.23%
2000-03-07,23.56,24.19,24.5,22.41,23.44M,-3.84%
2000-03-08,23.75,23.31,24.03,22.94,14.44M,0.81%
2000-03-09,23.38,23.78,23.78,22.94,12.39M,-1.56%
2000-03-10,22.75,23.03,23.31,22.03,14.06M,-2.69%
2000-03-13,21.88,21.62,22.16,21.56,15.65M,-3.82%
2000-03-14,21.66,22.16,22.16,21.44,11.16M,-1.01%
2000-03-15,23.78,21.84,23.91,21.75,22.14M,9.79%
2000-03-16,24.88,24.66,24.94,24.28,17.61M,4.63%
2000-03-17,24.56,24.69,24.97,24.38,14.53M,-1.29%
2000-03-20,24.28,24.5,24.5,24.03,6.76M,-1.14%
2000-03-21,24.72,23.69,24.84,23.69,8.58M,1.81%
2000-03-22,23.53,24.5,24.5,23.09,11.88M,-4.81%
2000-03-23,23.5,23.5,24.19,23.22,10.33M,-0.13%
2000-03-24,23.5,23.38,23.59,23.19,8.77M,0.00%
2000-03-27,22.62,23.41,23.56,22.62,10.54M,-3.74%
2000-03-28,22.44,22.88,23.25,22.44,13.67M,-0.80%
2000-03-29,23.44,22.69,23.53,22.66,16.29M,4.46%
2000-03-30,24.28,23.56,24.97,23.56,18.80M,3.58%
2000-03-31,23.47,24.34,24.34,23.47,8.86M,-3.34%
2000-04-03,24.66,23.72,24.97,23.62,14.19M,5.07%
2000-04-04,26.19,24.75,26.19,24.09,27.39M,6.20%
2000-04-05,23.81,25.12,25.47,23.69,19.94M,-9.09%
2000-04-06,22.88,23.94,23.97,22.38,20.68M,-3.91%
2000-04-07,23.09,22.88,23.22,22.38,12.37M,0.92%
2000-04-10,22.5,23.25,23.59,22.44,12.90M,-2.56%
2000-04-11,23.59,23.22,23.88,22.84,12.10M,4.84%
2000-04-12,24.25,24.0,24.97,23.84,15.59M,2.80%
2000-04-13,23.62,23.75,24.31,23.56,8.89M,-2.60%
2000-04-14,23.5,23.12,23.78,23.03,9.49M,-0.51%
2000-04-17,24.25,23.38,24.31,23.12,10.71M,3.19%
2000-04-18,24.31,24.16,24.56,23.19,13.00M,0.25%
2000-04-19,24.59,24.31,24.84,23.97,10.07M,1.15%
2000-04-20,24.72,24.25,24.72,24.0,8.28M,0.53%
2000-04-24,24.81,24.72,25.22,24.5,9.38M,0.36%
2000-04-25,25.25,24.66,25.25,24.09,8.71M,1.77%
2000-04-26,24.72,24.5,25.06,24.44,9.54M,-2.10%
