Date,Price,Open,High,Low,Vol.,Change %
2001-10-31,20.94,20.55,21.25,20.5,11.10M,2.40%
2001-11-01,21.09,21.12,21.3,20.9,3.90M,0.72%
2001-11-02,21.45,21.02,21.55,21.01,4.08M,1.71%
2001-11-05,21.45,21.75,21.75,21.38,2.76M,0.00%
2001-11-06,22.02,21.48,22.15,21.07,3.25M,2.66%
2001-11-07,21.62,21.88,21.88,21.25,2.68M,-1.82%
2001-11-08,21.35,21.5,21.55,21.0,3.40M,-1.25%
2001-11-09,21.0,21.25,21.25,20.5,3.29M,-1.64%
2001-11-12,21.43,21.0,21.43,20.85,973.60K,2.05%
2001-11-13,21.38,21.7,21.7,21.26,1.72M,-0.23%
2001-11-14,22.98,22.0,23.0,21.77,4.21M,7.48%
2001-11-15,23.38,22.85,23.38,22.73,2.31M,1.74%
2001-11-16,23.4,23.45,23.6,23.15,2.18M,0.09%
2001-11-19,23.75,23.38,23.79,23.2,2.01M,1.50%
2001-11-20,24.4,23.65,24.62,23.62,2.80M,2.74%
2001-11-21,24.5,24.35,24.85,24.2,2.68M,0.41%
2001-11-23,24.59,24.48,24.68,24.48,287.80K,0.37%
2001-11-26,24.27,24.85,25.12,24.15,1.92M,-1.30%
2001-11-27,24.3,24.4,24.93,24.14,1.15M,0.12%
2001-11-28,24.48,24.27,24.6,23.75,625.20K,0.74%
2001-11-29,25.0,24.75,25.05,24.54,1.14M,2.12%
2001-11-30,25.43,25.05,25.5,24.9,2.96M,1.72%
2001-12-03,25.65,25.4,25.65,25.05,1.27M,0.87%
2001-12-04,25.75,25.68,25.75,25.25,794.00K,0.39%
2001-12-05,24.43,25.9,25.95,24.35,1.36M,-5.13%
2001-12-06,24.25,24.45,24.5,23.68,902.60K,-0.74%
2001-12-07,24.3,24.25,24.35,23.8,649.60K,0.21%
2001-12-10,24.12,24.3,24.43,24.07,308.00K,-0.74%
2001-12-11,24.1,24.12,24.34,23.86,892.80K,-0.08%
2001-12-12,23.93,24.12,24.12,23.93,478.80K,-0.71%
2001-12-13,24.05,23.8,24.05,23.45,960.60K,0.50%
2001-12-14,24.0,24.0,24.05,23.68,813.60K,-0.21%
2001-12-17,24.62,24.05,24.65,23.96,422.20K,2.58%
2001-12-18,24.65,24.75,24.8,24.61,809.20K,0.12%
2001-12-19,24.0,24.65,24.68,23.88,1.47M,-2.64%
2001-12-20,23.45,23.88,24.0,23.4,1.31M,-2.29%
2001-12-21,22.88,23.4,23.4,22.62,4.28M,-2.43%
2001-12-24,22.8,22.88,22.98,22.8,900.20K,-0.35%
2001-12-26,23.12,22.93,23.24,22.93,1.19M,1.40%
2001-12-27,23.45,23.18,23.65,23.18,1.93M,1.43%
2001-12-28,24.25,23.48,24.25,23.48,1.71M,3.41%
2001-12-31,24.75,24.35,25.12,24.35,1.79M,2.06%
2002-01-02,24.4,24.84,24.84,24.36,1.93M,-1.41%
2002-01-03,24.23,24.4,24.64,24.23,625.60K,-0.70%
2002-01-04,23.93,24.25,24.4,23.45,2.32M,-1.24%
2002-01-07,23.51,23.93,23.97,23.5,1.92M,-1.76%
2002-01-08,23.7,23.43,23.93,23.2,932.00K,0.81%
2002-01-09,23.8,23.77,24.12,23.75,855.00K,0.42%
2002-01-10,25.05,23.8,25.37,23.79,2.55M,5.25%
2002-01-11,25.75,25.05,25.9,24.95,1.11M,2.79%
2002-01-14,25.95,25.8,26.2,25.43,1.36M,0.78%
2002-01-15,25.35,25.85,25.86,24.7,1.43M,-2.31%
2002-01-16,25.5,25.23,25.85,24.8,1.72M,0.59%
2002-01-17,25.15,25.5,25.52,25.0,912.00K,-1.37%
2002-01-18,25.49,25.02,25.5,24.91,1.41M,1.35%
2002-01-22,25.88,25.36,25.94,25.02,1.61M,1.53%
2002-01-23,26.13,25.7,26.43,25.7,1.63M,0.97%
2002-01-24,26.4,26.02,26.55,26.02,1.85M,1.03%
2002-01-25,26.94,26.5,27.05,26.43,1.67M,2.05%
2002-01-28,26.88,26.7,27.25,26.6,1.40M,-0.22%
2002-01-29,26.6,26.52,26.88,26.48,1.35M,-1.04%
2002-01-30,26.26,26.25,26.65,25.98,1.30M,-1.28%
2002-01-31,26.6,26.3,26.6,25.9,2.07M,1.29%
2002-02-01,26.57,26.62,27.05,26.5,1.57M,-0.11%
2002-02-04,26.1,26.48,26.5,25.7,1.06M,-1.77%
2002-02-05,27.12,26.15,27.12,25.75,1.73M,3.91%
2002-02-06,28.25,28.25,28.97,27.77,5.27M,4.17%
2002-02-07,28.8,28.25,29.42,28.16,1.82M,1.95%
