Date,Price,Open,High,Low,Vol.,Change %
2000-01-03,4.91,5.03,5.03,4.91,6.40K,-2.39%
2000-01-04,4.86,4.89,4.95,4.86,243.60K,-1.02%
2000-01-05,4.94,4.91,4.98,4.91,17.20K,1.65%
2000-01-06,5.0,4.89,5.0,4.89,3.20K,1.21%
2000-01-07,5.12,5.02,5.12,5.02,11.20K,2.40%
2000-01-11,4.91,4.89,4.91,4.89,2.80K,-4.10%
2000-01-12,4.95,4.84,4.95,4.81,22.80K,0.81%
2000-01-14,4.56,4.81,4.81,4.56,17.60K,-7.88%
2000-01-19,4.38,4.44,4.56,4.38,4.00K,-3.95%
2000-01-20,4.44,4.47,4.47,4.36,18.40K,1.37%
2000-01-21,4.36,4.31,4.42,4.06,122.00K,-1.80%
2000-01-24,4.36,4.41,4.41,4.0,16.00K,0.00%
2000-01-25,4.34,4.25,4.38,4.25,10.80K,-0.46%
2000-01-26,4.62,4.41,4.69,4.41,46.80K,6.45%
2000-01-27,4.47,4.41,4.47,4.3,6.40K,-3.25%
2000-01-28,4.5,4.52,4.52,4.5,5.20K,0.67%
2000-01-31,4.81,4.66,4.81,4.66,17.60K,6.89%
2000-02-01,4.81,4.81,4.81,4.81,0.40K,0.00%
2000-02-02,4.52,4.52,4.52,4.52,0.80K,-6.03%
2000-02-03,4.41,4.41,4.41,4.41,2.00K,-2.43%
2000-02-04,4.48,4.53,4.53,4.44,50.80K,1.59%
2000-02-07,4.5,4.5,4.5,4.5,17.60K,0.45%
2000-02-09,4.62,4.44,4.62,4.44,4.40K,2.67%
2000-02-10,4.56,4.75,4.75,4.52,21.60K,-1.30%
2000-02-11,4.61,4.7,4.7,4.56,4.40K,1.10%
2000-02-14,4.53,4.53,4.53,4.53,0.40K,-1.74%
2000-02-15,4.62,4.58,4.62,4.55,1.60K,1.99%
2000-02-17,4.67,4.67,4.67,4.67,3.20K,1.08%
2000-02-18,4.53,4.53,4.53,4.53,0.40K,-3.00%
2000-02-22,4.5,4.5,4.5,4.5,0.80K,-0.66%
2000-02-24,4.52,4.56,4.56,4.52,9.60K,0.44%
2000-02-25,4.58,4.61,4.61,4.58,3.60K,1.33%
2000-02-28,4.67,4.67,4.67,4.67,4.00K,1.97%
2000-02-29,4.62,4.59,4.62,4.59,3.20K,-1.07%
2000-03-01,4.56,4.56,4.56,4.56,0.80K,-1.30%
2000-03-02,4.41,4.47,4.5,4.41,2.40K,-3.29%
2000-03-03,4.67,4.39,4.67,4.39,9.20K,5.90%
2000-03-06,4.88,4.75,4.94,4.75,17.60K,4.50%
2000-03-07,4.66,4.94,4.94,4.66,4.40K,-4.51%
2000-03-09,4.5,4.66,4.66,4.5,3.60K,-3.43%
2000-03-10,4.44,4.5,4.5,4.44,2.00K,-1.33%
2000-03-13,4.48,4.62,4.62,4.48,4.00K,0.90%
2000-03-14,4.66,4.48,4.66,4.48,22.80K,4.02%
2000-03-17,4.88,4.75,4.88,4.72,9.60K,4.72%
2000-03-20,4.62,4.62,4.62,4.62,0.80K,-5.33%
2000-03-21,4.88,4.5,4.88,4.5,8.00K,5.63%
2000-03-23,4.97,4.91,4.97,4.91,1.60K,1.84%
2000-03-29,5.0,5.0,5.0,5.0,2.40K,0.60%
2000-03-31,5.12,5.08,5.12,5.08,1.60K,2.40%
2000-04-03,5.16,5.16,5.25,5.16,4.80K,0.78%
2000-04-05,5.16,4.81,5.44,4.81,15.20K,0.00%
2000-04-10,5.5,5.45,5.5,5.45,2.80K,6.59%
2000-04-12,5.47,5.12,5.5,5.12,7.60K,-0.55%
2000-04-13,5.62,5.58,5.62,5.58,3.60K,2.74%
2000-04-14,5.62,5.62,5.62,5.62,0.80K,0.00%
2000-04-17,5.38,5.12,5.38,5.08,9.60K,-4.27%
2000-04-19,5.3,5.25,5.31,5.25,24.80K,-1.49%
2000-04-20,5.17,5.25,5.25,5.17,3.60K,-2.45%
2000-04-24,5.08,5.0,5.16,5.0,20.00K,-1.74%
2000-04-27,5.25,5.25,5.25,5.25,1.20K,3.35%
2000-04-28,5.45,5.45,5.45,5.45,1.60K,3.81%
2000-05-01,5.12,5.12,5.12,5.12,0.80K,-6.06%
2000-05-02,5.53,5.36,5.53,5.36,13.20K,8.01%
2000-05-03,5.5,5.16,5.5,5.16,2.00K,-0.54%
2000-05-04,5.66,5.59,5.66,5.59,12.00K,2.91%
2000-05-05,5.62,5.62,5.62,5.62,10.40K,-0.71%
2000-05-08,5.69,5.64,5.69,5.64,2.80K,1.25%
2000-05-09,5.53,5.53,5.53,5.53,0.40K,-2.81%
2000-05-10,5.5,5.31,5.5,5.31,12.80K,-0.54%
2000-05-15,5.31,5.31,5.31,5.31,4.00K,-3.45%
2000-05-18,5.19,5.25,5.25,5.19,1.20K,-2.26%
2000-05-22,4.81,4.81,4.81,4.81,2.00K,-7.32%
2000-05-23,5.28,5.19,5.28,5.19,2.40K,9.77%
2000-05-24,5.36,5.42,5.42,5.36,1.20K,1.52%
2000-05-25,5.47,5.47,5.47,5.47,0.80K,2.05%
2000-05-30,5.58,5.39,5.58,5.39,3.60K,2.01%
2000-05-31,5.72,5.56,5.72,5.56,12.00K,2.51%
2000-06-01,5.64,5.7,5.7,5.56,14.00K,-1.40%
2000-06-02,5.75,5.56,5.75,5.56,14.80K,1.95%
2000-06-05,5.78,5.75,5.78,5.75,2.40K,0.52%
2000-06-08,5.75,5.73,5.75,5.73,4.80K,-0.52%
2000-06-12,5.66,5.75,5.75,5.66,13.20K,-1.57%
2000-06-13,5.75,5.75,5.75,5.75,0.80K,1.59%
2000-06-14,5.62,5.78,5.78,5.62,3.60K,-2.26%
2000-06-15,5.62,5.62,5.62,5.62,2.40K,0.00%
2000-06-21,5.53,5.53,5.53,5.53,2.40K,-1.60%
2000-06-23,5.28,5.41,5.41,5.28,8.40K,-4.52%
2000-06-26,5.38,5.31,5.38,5.31,55.20K,1.89%
2000-06-27,5.16,5.31,5.38,5.16,48.80K,-4.09%
2000-06-28,5.56,5.25,5.56,5.25,57.20K,7.75%
2000-06-29,5.25,5.5,5.5,5.25,0.80K,-5.58%
2000-06-30,5.08,5.27,5.3,5.06,55.60K,-3.24%
2000-07-07,5.47,5.47,5.47,5.47,4.00K,7.68%
2000-07-10,5.5,5.39,5.5,5.39,4.40K,0.55%
2000-07-12,5.5,5.5,5.5,5.5,0.80K,0.00%
2000-07-13,5.39,5.39,5.39,5.39,3.20K,-2.00%
2000-07-17,5.5,5.5,5.5,5.5,5.20K,2.04%
2000-07-19,5.53,5.56,5.56,5.53,1.20K,0.55%
2000-07-20,5.66,5.61,5.66,5.61,0.80K,2.35%
2000-07-21,5.58,5.61,5.61,5.58,12.80K,-1.41%
2000-07-25,5.47,5.5,5.5,5.47,8.80K,-1.97%
2000-07-26,5.46,5.44,5.46,5.44,4.80K,-0.18%
2000-07-31,5.45,5.45,5.45,5.45,4.80K,-0.18%
2000-08-01,5.45,5.45,5.45,5.45,0.40K,0.00%
2000-08-03,5.5,5.48,5.55,5.48,5.20K,0.92%
2000-08-07,5.61,5.47,5.61,5.47,3.20K,2.00%
2000-08-09,5.47,5.47,5.47,5.47,8.00K,-2.50%
2000-08-10,5.5,5.53,5.59,5.5,13.60K,0.55%
2000-08-16,5.72,5.5,5.72,5.5,6.00K,4.00%
2000-08-17,5.81,5.75,5.86,5.75,11.60K,1.57%
2000-08-18,5.88,5.91,5.91,5.84,3.20K,1.20%
2000-08-21,5.86,5.86,5.86,5.86,1.60K,-0.34%
2000-08-22,5.83,5.83,5.83,5.83,0.40K,-0.51%
2000-08-23,5.73,5.77,5.81,5.73,5.20K,-1.72%
2000-08-24,5.77,5.77,5.77,5.77,12.00K,0.70%
2000-08-25,5.78,5.78,5.78,5.78,4.00K,0.17%
2000-08-28,5.84,5.84,5.84,5.84,0.80K,1.04%
2000-08-29,5.56,5.84,5.84,5.56,2.80K,-4.79%
2000-08-30,5.66,5.67,5.67,5.66,0.80K,1.80%
2000-08-31,5.69,5.59,5.71,5.59,12.80K,0.53%
2000-09-07,5.5,5.5,5.5,5.5,3.20K,-3.34%
2000-09-08,5.67,5.58,5.67,5.58,2.80K,3.09%
2000-09-12,5.75,5.69,5.75,5.69,5.60K,1.41%
2000-09-13,5.62,5.75,5.75,5.58,24.80K,-2.26%
2000-09-14,5.62,5.5,5.62,5.5,100.00K,0.00%
2000-09-15,5.77,5.62,5.77,5.62,16.80K,2.67%
2000-09-19,5.75,5.75,5.78,5.75,3.20K,-0.35%
2000-09-20,5.69,5.67,5.69,5.67,4.80K,-1.04%
2000-09-22,5.66,5.38,5.66,5.38,3.60K,-0.53%
2000-09-25,5.64,5.64,5.64,5.64,4.00K,-0.35%
2000-09-28,5.72,5.66,5.72,5.66,15.60K,1.42%
2000-10-02,5.64,5.75,5.75,5.64,3.20K,-1.40%
2000-10-04,5.5,5.69,5.69,5.5,6.00K,-2.48%
2000-10-06,5.88,5.47,5.88,5.47,11.20K,6.91%
2000-10-09,5.44,5.44,5.44,5.44,1.60K,-7.48%
2000-10-10,5.86,5.86,5.86,5.86,17.60K,7.72%
2000-10-11,6.02,5.95,6.02,5.95,4.40K,2.73%
2000-10-12,5.89,5.69,5.91,5.69,2.80K,-2.16%
2000-10-16,5.89,5.89,5.89,5.89,0.80K,0.00%
2000-10-17,5.73,5.91,5.95,5.73,8.80K,-2.72%
2000-10-18,5.89,5.75,5.89,5.75,3.20K,2.79%
2000-10-19,5.86,5.89,5.89,5.86,5.20K,-0.51%
2000-10-20,5.8,5.75,5.8,5.75,3.20K,-1.02%
2000-10-23,5.88,5.81,5.88,5.81,2.00K,1.38%
2000-10-24,5.99,6.0,6.03,5.99,10.40K,1.87%
2000-10-25,6.31,6.16,6.88,6.16,10.00K,5.34%
2000-10-26,6.38,6.0,6.38,6.0,10.00K,1.11%
2000-10-27,6.38,6.38,6.38,6.38,0.40K,0.00%
