Date,Price,Open,High,Low,Vol.,Change %
2000-01-03,48.58,49.83,50.25,48.08,12.02M,-6.20%
2000-01-04,47.25,47.08,47.46,46.13,11.72M,-2.74%
2000-01-05,46.96,46.83,48.38,46.0,8.71M,-0.61%
2000-01-06,47.63,46.75,48.63,46.5,8.37M,1.43%
2000-01-07,48.5,48.42,49.0,47.33,6.57M,1.83%
2000-01-10,47.67,48.5,48.92,47.67,4.72M,-1.71%
2000-01-11,46.54,46.67,46.96,45.5,8.41M,-2.37%
2000-01-12,46.83,46.46,47.25,46.33,7.27M,0.62%
2000-01-13,47.54,47.42,48.33,47.04,6.92M,1.52%
2000-01-14,49.25,49.29,50.5,48.54,9.73M,3.60%
2000-01-18,47.33,49.29,49.67,46.83,5.57M,-3.90%
2000-01-19,49.42,48.17,50.25,48.17,15.73M,4.42%
2000-01-20,48.67,50.25,50.67,48.5,7.76M,-1.52%
2000-01-21,48.63,49.25,49.33,48.42,5.16M,-0.08%
2000-01-24,48.67,49.58,49.71,48.13,6.46M,0.08%
2000-01-25,49.75,48.67,50.5,48.67,7.58M,2.22%
2000-01-26,52.29,50.25,52.67,50.0,8.39M,5.11%
2000-01-27,53.79,52.96,54.33,52.38,8.17M,2.87%
2000-01-28,51.13,53.04,53.04,51.08,7.50M,-4.95%
2000-01-31,53.79,51.21,54.33,51.21,7.16M,5.20%
2000-02-01,55.83,54.96,56.33,54.21,9.65M,3.79%
2000-02-02,54.92,55.33,56.13,54.25,7.13M,-1.63%
2000-02-03,55.46,55.67,56.58,53.5,9.20M,0.98%
2000-02-04,54.5,55.0,55.54,54.38,5.12M,-1.73%
2000-02-07,54.79,54.79,55.58,54.5,4.68M,0.53%
2000-02-08,56.71,56.04,57.42,56.0,6.32M,3.50%
2000-02-09,55.25,56.63,57.58,54.96,9.82M,-2.57%
2000-02-10,55.42,55.42,55.83,54.25,6.88M,0.31%
2000-02-11,55.08,55.5,56.67,54.67,7.05M,-0.61%
2000-02-14,52.71,54.83,55.63,52.71,5.90M,-4.30%
2000-02-15,54.04,53.38,55.0,53.08,8.97M,2.52%
2000-02-16,53.0,54.0,54.79,52.67,4.83M,-1.92%
2000-02-17,52.25,53.75,54.33,51.88,5.72M,-1.42%
2000-02-18,49.83,52.04,52.38,49.71,8.12M,-4.63%
2000-02-22,51.5,50.67,52.58,50.08,7.07M,3.35%
2000-02-23,51.58,51.58,52.79,51.04,4.45M,0.16%
2000-02-24,50.67,51.5,51.71,49.75,5.20M,-1.76%
2000-02-25,50.58,51.08,52.5,49.92,4.64M,-0.18%
2000-02-28,51.96,51.17,53.5,50.92,6.05M,2.73%
