Date,Price,Open,High,Low,Vol.,Change %
2000-01-03,23.44,23.0,23.62,22.19,1.81M,4.18%
2000-01-04,21.94,23.12,23.12,21.75,1.15M,-6.40%
2000-01-05,22.19,22.06,22.38,21.5,1.31M,1.14%
2000-01-06,23.75,22.12,24.25,22.06,2.03M,7.03%
2000-01-07,23.5,23.94,24.25,23.25,1.20M,-1.05%
2000-01-10,24.0,25.5,25.88,24.0,2.48M,2.13%
2000-01-11,27.0,25.25,28.06,25.0,5.37M,12.50%
2000-01-12,25.94,27.44,27.44,25.5,2.05M,-3.93%
2000-01-13,26.38,26.0,26.69,25.62,1.13M,1.70%
2000-01-14,26.38,27.0,27.0,26.06,1.06M,0.00%
2000-01-18,26.81,26.31,27.0,25.94,1.33M,1.63%
2000-01-19,26.19,26.62,26.88,26.0,889.10K,-2.31%
2000-01-20,25.25,26.06,26.12,25.25,1.54M,-3.59%
2000-01-21,25.12,25.94,25.94,25.0,1.62M,-0.51%
2000-01-24,24.88,25.12,25.38,24.81,799.20K,-0.96%
2000-01-25,22.0,22.0,22.75,21.25,4.93M,-11.58%
2000-01-26,21.69,21.94,22.0,21.38,1.74M,-1.41%
2000-01-27,20.88,21.88,21.94,20.12,3.10M,-3.73%
2000-01-28,20.12,20.94,20.94,20.12,1.08M,-3.64%
2000-01-31,20.56,20.06,20.94,20.0,952.20K,2.19%
2000-02-01,20.88,20.88,21.06,20.5,1.24M,1.56%
2000-02-02,20.38,20.88,21.19,20.31,1.53M,-2.39%
2000-02-03,20.56,20.75,20.94,20.38,1.38M,0.88%
2000-02-04,20.5,20.5,20.88,20.38,550.30K,-0.29%
2000-02-07,20.31,20.5,20.69,20.25,574.20K,-0.93%
2000-02-08,20.38,20.69,21.19,20.38,973.70K,0.34%
2000-02-09,20.38,20.44,20.56,20.25,918.90K,0.00%
2000-02-10,19.12,20.5,20.5,18.94,2.52M,-6.18%
2000-02-11,18.88,19.44,19.44,18.81,3.99M,-1.26%
2000-02-14,18.94,18.69,19.19,18.62,622.20K,0.32%
2000-02-15,18.62,18.88,18.94,18.31,1.20M,-1.69%
2000-02-16,20.0,19.06,20.19,19.0,1.17M,7.41%
2000-02-17,20.0,20.0,20.5,19.62,1.38M,0.00%
2000-02-18,19.94,20.25,20.44,19.75,985.80K,-0.30%
2000-02-22,19.75,19.69,19.88,19.12,762.00K,-0.95%
2000-02-23,19.12,19.62,19.75,19.12,840.30K,-3.19%
2000-02-24,19.5,19.12,19.62,18.62,1.04M,1.99%
2000-02-25,19.31,19.44,19.5,19.06,846.30K,-0.97%
2000-02-28,19.31,19.0,19.5,18.75,881.00K,0.00%
2000-02-29,19.38,19.5,19.69,19.19,1.21M,0.36%
2000-03-01,19.5,19.38,19.69,19.06,697.90K,0.62%
2000-03-02,18.94,19.12,19.38,18.69,775.50K,-2.87%
2000-03-03,19.25,19.0,19.69,18.75,1.15M,1.64%
2000-03-06,19.38,19.62,19.69,19.25,511.60K,0.68%
2000-03-07,18.56,19.12,19.31,18.5,793.90K,-4.23%
2000-03-08,18.5,18.5,18.81,18.38,619.30K,-0.32%
2000-03-09,19.06,18.5,19.31,18.25,1.00M,3.03%
2000-03-10,18.62,19.31,19.5,18.5,787.30K,-2.31%
2000-03-13,18.88,18.38,18.88,18.25,888.30K,1.40%
2000-03-14,18.25,18.88,18.88,18.25,1.03M,-3.34%
2000-03-15,19.12,18.25,19.38,18.19,1.52M,4.77%
2000-03-16,19.75,19.38,19.88,19.12,1.73M,3.29%
2000-03-17,19.12,19.75,19.75,19.0,1.30M,-3.19%
2000-03-20,19.25,19.12,19.5,19.06,1.08M,0.68%
2000-03-21,19.19,19.25,19.38,19.0,1.16M,-0.31%
2000-03-22,19.06,19.06,19.5,19.06,1.30M,-0.68%
2000-03-23,19.19,18.94,19.25,18.81,1.11M,0.68%
2000-03-24,19.5,19.19,19.62,19.06,1.09M,1.62%
2000-03-27,19.75,19.88,19.94,19.5,846.00K,1.28%
2000-03-28,21.5,19.56,21.62,19.56,4.05M,8.86%
2000-03-29,21.69,21.31,21.94,21.0,2.55M,0.88%
2000-03-30,20.56,21.5,21.62,20.5,1.09M,-5.21%
2000-03-31,21.0,20.75,21.25,20.25,1.06M,2.14%
2000-04-03,21.12,21.0,21.62,20.75,922.60K,0.57%
2000-04-04,20.5,21.19,21.25,19.5,1.64M,-2.94%
2000-04-05,20.44,20.25,20.81,20.25,618.80K,-0.29%
2000-04-06,20.38,20.5,20.88,20.06,647.70K,-0.29%
2000-04-07,20.19,20.25,20.5,20.12,455.20K,-0.93%
2000-04-10,21.44,20.0,21.56,19.81,1.71M,6.19%
2000-04-11,20.75,21.25,21.94,20.12,1.17M,-3.22%
2000-04-12,21.25,20.88,21.62,20.75,1.33M,2.41%
2000-04-13,20.44,21.0,21.06,20.38,802.30K,-3.81%
2000-04-14,19.81,20.12,20.38,19.31,1.55M,-3.08%
2000-04-17,18.81,18.88,19.44,18.75,1.64M,-5.05%
2000-04-18,19.25,19.0,19.75,18.81,1.09M,2.34%
2000-04-19,19.0,19.25,19.56,18.88,964.70K,-1.30%
2000-04-20,18.88,19.0,19.12,18.62,983.20K,-0.63%
2000-04-24,18.44,18.75,19.0,18.19,938.80K,-2.33%
2000-04-25,18.94,18.38,19.06,17.94,1.62M,2.71%
2000-04-26,17.0,18.0,18.31,16.69,4.06M,-10.24%
2000-04-27,16.94,16.75,17.31,16.5,2.69M,-0.35%
2000-04-28,16.94,17.0,17.06,16.69,1.23M,0.00%
2000-05-01,18.25,17.38,18.44,17.06,2.33M,7.73%
2000-05-02,17.94,17.88,18.44,17.81,1.49M,-1.70%
2000-05-03,18.38,17.81,18.62,17.62,2.12M,2.45%
2000-05-04,18.44,18.5,18.56,18.25,923.20K,0.33%
2000-05-05,18.12,18.5,18.56,18.06,781.40K,-1.74%
2000-05-08,18.12,18.25,18.38,18.0,431.00K,0.00%
2000-05-09,18.0,18.19,18.25,18.0,666.00K,-0.66%
2000-05-10,17.31,17.94,17.94,17.31,1.19M,-3.83%
2000-05-11,17.5,17.5,17.81,17.38,727.60K,1.10%
2000-05-12,17.25,17.5,17.69,17.19,673.30K,-1.43%
2000-05-15,17.25,17.5,17.56,17.06,778.00K,0.00%
2000-05-16,17.0,17.5,17.56,16.94,1.21M,-1.45%
2000-05-17,16.88,16.81,17.0,16.69,1.34M,-0.71%
2000-05-18,16.69,16.81,16.88,16.5,1.11M,-1.13%
2000-05-19,16.5,16.12,16.69,16.12,1.01M,-1.14%
2000-05-22,16.38,16.62,16.81,16.19,589.50K,-0.73%
2000-05-23,16.5,16.38,17.0,16.38,821.40K,0.73%
2000-05-24,16.75,16.62,17.0,16.25,1.93M,1.52%
2000-05-25,16.38,16.62,17.12,16.0,870.60K,-2.21%
2000-05-26,16.06,16.31,16.5,16.0,699.40K,-1.95%
2000-05-30,16.56,16.25,16.62,16.25,1.17M,3.11%
2000-05-31,16.44,16.38,16.56,16.25,1.81M,-0.72%
2000-06-01,16.5,16.31,16.56,16.31,582.30K,0.36%
2000-06-02,16.88,16.62,17.12,16.19,2.06M,2.30%
2000-06-05,18.5,17.12,18.75,17.06,3.07M,9.60%
2000-06-06,18.38,18.5,19.0,18.31,1.23M,-0.65%
2000-06-07,19.31,18.44,19.69,18.44,2.14M,5.06%
2000-06-08,19.56,20.25,20.5,19.38,2.40M,1.29%
2000-06-09,20.56,20.06,21.5,19.75,2.55M,5.11%
2000-06-12,20.31,21.25,21.5,20.06,1.50M,-1.22%
2000-06-13,20.88,20.31,21.06,20.19,1.02M,2.81%
2000-06-14,21.31,20.75,21.94,20.5,1.78M,2.06%
2000-06-15,21.75,21.56,22.0,21.56,1.65M,2.06%
2000-06-16,22.31,21.81,22.56,21.81,1.35M,2.57%
2000-06-19,21.38,22.38,22.62,20.75,1.76M,-4.17%
2000-06-20,20.75,21.12,21.19,20.31,1.08M,-2.95%
2000-06-21,21.5,20.75,21.5,20.62,1.12M,3.61%
2000-06-22,20.38,20.5,20.94,20.19,986.90K,-5.21%
