Date,Price,Open,High,Low,Vol.,Change %
2000-01-03,1.34,1.35,1.35,1.33,770.00K,3.88%
2000-01-04,1.34,1.34,1.34,1.32,395.00K,0.00%
2000-01-05,1.31,1.32,1.32,1.3,420.00K,-2.24%
2000-01-06,1.33,1.31,1.35,1.31,575.00K,1.53%
2000-01-07,1.37,1.37,1.38,1.35,490.00K,3.01%
2000-01-10,1.48,1.45,1.49,1.45,1.06M,8.03%
2000-01-11,1.46,1.46,1.47,1.44,1.53M,-1.35%
2000-01-12,1.46,1.46,1.46,1.46,580.00K,0.00%
2000-01-13,1.44,1.46,1.46,1.44,330.00K,-1.37%
2000-01-14,1.37,1.41,1.42,1.36,1.07M,-4.86%
2000-01-18,1.34,1.37,1.37,1.34,595.00K,-2.19%
2000-01-19,1.32,1.32,1.33,1.31,645.00K,-1.49%
2000-01-20,1.35,1.33,1.36,1.33,725.00K,2.27%
2000-01-21,1.35,1.35,1.35,1.34,615.00K,0.00%
2000-01-24,1.32,1.34,1.34,1.32,455.00K,-2.22%
2000-01-25,1.3,1.3,1.31,1.3,965.00K,-1.52%
2000-01-26,1.29,1.31,1.31,1.28,1.16M,-0.77%
2000-01-27,1.27,1.29,1.29,1.27,365.00K,-1.55%
2000-01-28,1.25,1.25,1.25,1.24,420.00K,-1.57%
2000-01-31,1.24,1.24,1.24,1.24,380.00K,-0.80%
2000-02-01,1.27,1.26,1.27,1.25,210.00K,2.42%
2000-02-02,1.29,1.29,1.3,1.29,950.00K,1.57%
2000-02-03,1.34,1.32,1.34,1.31,775.00K,3.88%
2000-02-04,1.3,1.3,1.3,1.29,285.00K,-2.99%
2000-02-07,1.32,1.31,1.32,1.31,370.00K,1.54%
2000-02-08,1.35,1.36,1.36,1.35,145.00K,2.27%
2000-02-09,1.38,1.39,1.39,1.37,250.00K,2.22%
2000-02-10,1.4,1.4,1.41,1.4,335.00K,1.45%
2000-02-11,1.34,1.4,1.4,1.34,810.00K,-4.29%
2000-02-14,1.37,1.37,1.38,1.36,955.00K,2.24%
2000-02-15,1.39,1.37,1.39,1.37,490.00K,1.46%
2000-02-16,1.46,1.42,1.47,1.42,950.00K,5.04%
2000-02-17,1.34,1.38,1.38,1.33,825.00K,-8.22%
2000-02-18,1.38,1.39,1.41,1.38,1.17M,2.99%
2000-02-22,1.43,1.42,1.44,1.42,515.00K,3.62%
2000-02-23,1.43,1.43,1.44,1.43,275.00K,0.00%
2000-02-24,1.37,1.37,1.37,1.35,335.00K,-4.20%
2000-02-25,1.34,1.33,1.34,1.33,230.00K,-2.19%
2000-02-28,1.26,1.26,1.27,1.25,1.15M,-5.97%
2000-02-29,1.27,1.27,1.28,1.26,915.00K,0.79%
2000-03-01,1.29,1.27,1.29,1.26,715.00K,1.57%
2000-03-02,1.36,1.35,1.37,1.35,435.00K,5.43%
2000-03-03,1.39,1.39,1.4,1.39,435.00K,2.21%
2000-03-06,1.34,1.39,1.39,1.34,1.18M,-3.60%
2000-03-07,1.31,1.35,1.35,1.31,550.00K,-2.24%
2000-03-08,1.32,1.33,1.33,1.31,500.00K,0.76%
2000-03-09,1.29,1.29,1.29,1.28,390.00K,-2.27%
2000-03-10,1.32,1.33,1.33,1.3,620.00K,2.33%
2000-03-13,1.36,1.35,1.36,1.33,1.22M,3.03%
2000-03-14,1.34,1.35,1.36,1.34,550.00K,-1.47%
2000-03-15,1.33,1.34,1.34,1.33,190.00K,-0.75%
2000-03-16,1.41,1.38,1.41,1.37,520.00K,6.02%
2000-03-17,1.4,1.42,1.42,1.4,430.00K,-0.71%
2000-03-20,1.41,1.41,1.41,1.41,400.00K,0.71%
2000-03-21,1.44,1.42,1.44,1.42,130.00K,2.13%
2000-03-22,1.45,1.46,1.47,1.44,650.00K,0.69%
