Date,Price,Open,High,Low,Vol.,Change %
2000-01-03,22.28,22.39,22.45,22.11,42.80K,0.27%
2000-01-04,22.33,22.6,22.69,22.33,588.40K,0.22%
2000-01-05,22.36,22.1,22.36,21.76,80.80K,0.13%
2000-01-06,22.51,22.57,22.8,22.41,48.40K,0.67%
2000-01-07,22.64,22.45,22.64,22.41,28.00K,0.58%
2000-01-10,22.42,22.51,22.52,22.13,30.00K,-0.97%
2000-01-11,21.86,21.57,21.86,21.45,35.60K,-2.50%
2000-01-12,20.99,21.19,21.19,20.63,134.00K,-3.98%
2000-01-13,20.81,20.55,20.81,20.55,68.80K,-0.86%
2000-01-14,20.66,20.9,21.1,20.52,63.60K,-0.72%
2000-01-18,20.5,20.69,20.69,20.46,60.40K,-0.77%
2000-01-19,20.4,20.56,20.66,20.28,50.80K,-0.49%
2000-01-20,20.22,20.34,20.38,19.99,178.00K,-0.88%
2000-01-21,20.16,19.78,20.16,19.74,189.60K,-0.30%
2000-01-24,19.49,19.67,19.73,19.46,66.00K,-3.32%
2000-01-25,18.93,18.55,18.99,18.55,58.00K,-2.87%
2000-01-26,18.46,18.46,18.46,18.17,69.60K,-2.48%
2000-01-27,18.29,17.88,18.29,17.76,95.20K,-0.92%
2000-01-28,18.13,17.59,18.13,17.59,32.80K,-0.87%
2000-01-31,17.51,17.35,17.64,17.32,70.00K,-3.42%
2000-02-01,17.82,17.47,17.82,17.47,87.20K,1.77%
2000-02-02,17.88,17.64,17.88,17.5,137.60K,0.34%
2000-02-03,17.94,17.88,18.03,17.67,181.60K,0.34%
2000-02-04,17.56,17.59,17.59,17.44,81.60K,-2.12%
2000-02-07,17.54,17.85,18.11,17.32,177.20K,-0.11%
2000-02-08,17.48,17.38,17.7,17.32,78.80K,-0.34%
2000-02-09,16.72,16.85,16.94,16.56,109.60K,-4.35%
2000-02-10,16.03,15.78,16.18,15.71,244.40K,-4.13%
2000-02-11,15.89,15.65,15.89,15.59,72.00K,-0.87%
2000-02-14,16.0,15.42,16.0,15.24,142.80K,0.69%
2000-02-15,16.38,16.03,16.38,16.03,398.00K,2.37%
