Date,Price,Open,High,Low,Vol.,Change %
2000-01-03,45.94,47.62,47.69,45.19,334.10K,-3.91%
2000-01-04,44.62,45.75,46.0,44.56,216.50K,-2.87%
2000-01-05,45.25,44.38,45.25,44.38,277.10K,1.41%
2000-01-06,45.06,45.0,45.12,44.75,206.30K,-0.42%
2000-01-07,44.38,42.5,45.75,41.25,1.69M,-1.51%
2000-01-10,46.31,44.62,46.31,43.56,562.10K,4.35%
2000-01-11,48.5,46.06,48.88,45.62,942.30K,4.73%
2000-01-12,50.12,48.44,50.75,48.44,1.41M,3.34%
2000-01-13,52.0,50.5,52.0,50.25,892.20K,3.75%
2000-01-14,55.62,52.75,56.25,52.75,1.11M,6.96%
2000-01-18,54.62,55.62,55.69,53.62,582.30K,-1.80%
2000-01-19,54.88,53.88,54.88,53.69,305.50K,0.48%
2000-01-20,54.62,55.0,55.25,53.88,534.90K,-0.47%
2000-01-21,54.06,53.38,54.25,53.38,537.00K,-1.03%
2000-01-24,54.19,54.06,54.5,54.0,890.10K,0.24%
2000-01-25,51.44,54.19,54.25,49.5,796.30K,-5.07%
2000-01-26,50.38,50.44,51.38,49.88,617.50K,-2.06%
2000-01-27,50.25,50.44,52.0,49.25,426.30K,-0.26%
2000-01-28,48.12,50.0,50.06,48.12,374.80K,-4.24%
2000-01-31,47.94,48.25,49.44,47.06,595.60K,-0.37%
2000-02-01,46.94,48.0,48.0,46.62,541.30K,-2.09%
2000-02-02,47.44,47.0,47.81,47.0,479.10K,1.07%
2000-02-03,47.5,47.0,48.88,45.88,695.90K,0.13%
2000-02-04,48.0,47.38,48.31,47.0,301.40K,1.05%
2000-02-07,48.0,47.75,48.25,47.62,204.40K,0.00%
2000-02-08,48.0,48.0,48.25,47.81,318.10K,0.00%
2000-02-09,48.75,48.38,49.0,47.62,664.30K,1.56%
2000-02-10,50.12,48.62,50.12,48.44,683.40K,2.81%
2000-02-11,51.56,50.0,51.69,48.88,628.70K,2.87%
2000-02-14,52.81,51.62,53.06,51.38,718.00K,2.42%
2000-02-15,51.0,52.81,52.81,50.75,433.70K,-3.43%
2000-02-16,50.56,51.0,51.0,49.69,490.90K,-0.86%
2000-02-17,49.94,50.62,50.62,49.81,371.50K,-1.23%
2000-02-18,47.62,49.25,49.5,47.0,260.00K,-4.65%
2000-02-22,46.75,47.75,47.75,45.5,345.30K,-1.83%
2000-02-23,47.12,47.0,47.5,46.0,217.50K,0.79%
2000-02-24,45.75,46.5,46.62,45.06,340.80K,-2.91%
2000-02-25,43.31,45.69,45.69,42.25,646.10K,-5.33%
2000-02-28,43.5,43.44,43.81,41.75,510.80K,0.44%
2000-02-29,42.81,43.62,44.06,42.62,453.70K,-1.59%
2000-03-01,42.0,42.38,42.38,40.81,422.50K,-1.89%
2000-03-02,39.69,41.75,41.75,39.69,376.00K,-5.50%
2000-03-03,40.56,39.69,41.25,39.44,429.90K,2.19%
2000-03-06,40.44,41.0,41.0,39.81,479.30K,-0.30%
2000-03-07,38.88,40.88,41.0,38.81,415.30K,-3.86%
2000-03-08,37.75,38.25,38.25,37.25,707.20K,-2.91%
