Date,Price,Open,High,Low,Vol.,Change %
2000-01-03,22.27,22.79,23.0,21.83,25.11M,-3.34%
2000-01-04,21.44,21.83,21.94,21.4,20.24M,-3.73%
2000-01-05,21.0,21.29,21.46,20.73,21.06M,-2.05%
2000-01-06,21.23,21.0,21.52,20.9,19.64M,1.10%
2000-01-07,22.83,21.5,22.98,21.5,23.93M,7.54%
2000-01-10,22.42,22.42,22.5,21.87,20.14M,-1.80%
2000-01-11,22.08,22.35,22.58,21.87,14.83M,-1.52%
2000-01-12,21.69,22.06,22.25,21.69,12.26M,-1.77%
2000-01-13,21.71,22.0,22.04,21.67,15.06M,0.09%
2000-01-14,21.5,21.33,21.98,21.33,18.94M,-0.97%
2000-01-18,21.85,21.06,22.15,21.02,19.32M,1.63%
2000-01-19,21.35,21.75,21.94,21.33,14.46M,-2.29%
2000-01-20,21.12,21.48,21.5,20.83,17.21M,-1.08%
2000-01-21,20.81,21.31,21.31,20.69,20.86M,-1.47%
2000-01-24,19.79,21.15,21.15,19.17,23.40M,-4.90%
2000-01-25,20.37,19.94,20.4,19.83,19.21M,2.93%
2000-01-26,20.65,20.37,20.69,20.0,13.62M,1.37%
2000-01-27,19.71,20.44,20.5,19.29,21.97M,-4.55%
2000-01-28,18.37,19.62,19.62,17.83,42.09M,-6.80%
2000-01-31,18.25,18.19,18.5,18.04,24.18M,-0.65%
2000-02-01,19.56,18.33,19.83,18.31,25.08M,7.18%
2000-02-02,19.46,19.62,20.04,19.31,18.10M,-0.51%
2000-02-03,19.46,19.46,19.6,18.75,21.00M,0.00%
2000-02-04,18.77,19.31,19.31,18.67,19.65M,-3.55%
2000-02-07,18.58,18.87,18.87,18.21,18.13M,-1.01%
2000-02-08,19.83,19.1,19.9,18.96,25.73M,6.73%
2000-02-09,19.27,20.0,20.04,19.1,24.65M,-2.82%
2000-02-10,19.0,19.21,19.46,18.94,13.77M,-1.40%
2000-02-11,18.69,19.15,19.17,18.54,14.45M,-1.63%
2000-02-14,19.62,18.9,19.62,18.83,17.41M,4.98%
2000-02-15,19.33,18.98,19.33,18.33,29.14M,-1.48%
2000-02-16,17.58,18.83,18.83,17.56,40.76M,-9.05%
2000-02-17,16.12,17.65,17.83,16.0,74.30M,-8.30%
2000-02-18,15.92,16.17,16.5,15.75,58.18M,-1.24%
2000-02-22,16.04,16.42,16.44,15.58,37.03M,0.75%
2000-02-23,15.67,16.15,16.17,15.58,38.62M,-2.31%
2000-02-24,15.96,15.67,15.96,14.48,58.27M,1.85%
2000-02-25,14.83,14.77,15.1,14.54,50.73M,-7.08%
2000-02-28,15.4,14.85,15.65,14.85,53.51M,3.84%
2000-02-29,16.25,15.98,16.58,15.98,51.59M,5.52%
2000-03-01,16.33,16.62,16.67,15.83,30.50M,0.49%
2000-03-02,16.85,17.58,17.62,16.81,46.63M,3.18%
2000-03-03,17.54,17.37,17.77,17.17,32.37M,4.09%
2000-03-06,16.83,17.54,17.56,16.21,31.48M,-4.05%
2000-03-07,15.85,16.54,16.54,15.71,29.17M,-5.82%
2000-03-08,16.1,15.77,16.44,15.21,30.06M,1.58%
2000-03-09,16.31,16.33,16.48,15.62,23.83M,1.30%
2000-03-10,15.98,16.58,16.58,15.81,21.02M,-2.02%
2000-03-13,15.9,15.42,15.98,15.29,23.18M,-0.50%
2000-03-14,15.92,15.67,16.27,15.44,29.96M,0.13%
2000-03-15,17.17,15.81,17.31,15.52,44.01M,7.85%
2000-03-16,18.21,17.44,18.52,17.21,59.15M,6.06%
2000-03-17,18.58,18.19,18.75,18.04,37.91M,2.03%
2000-03-20,18.37,18.6,18.6,17.79,20.31M,-1.13%
2000-03-21,18.87,18.48,18.87,18.17,23.56M,2.72%
2000-03-22,18.46,18.83,18.83,18.0,29.89M,-2.17%
2000-03-23,18.0,18.12,18.19,17.83,21.08M,-2.49%
2000-03-24,18.5,18.15,18.56,18.0,23.86M,2.78%
2000-03-27,18.48,18.23,18.5,18.08,17.32M,-0.11%
2000-03-28,18.17,18.19,18.65,18.17,17.39M,-1.68%
2000-03-29,19.58,18.5,19.79,18.48,40.79M,7.76%
2000-03-30,19.67,19.92,20.25,19.62,34.71M,0.46%
2000-03-31,18.83,19.75,19.77,18.5,27.16M,-4.27%
2000-04-03,20.4,18.87,20.67,18.87,35.81M,8.34%
2000-04-04,20.0,20.56,21.1,19.17,41.03M,-1.96%
2000-04-05,19.42,19.77,20.04,19.19,20.58M,-2.90%
2000-04-06,20.37,19.71,20.42,19.58,21.76M,4.89%
2000-04-07,20.5,20.42,20.67,20.21,12.04M,0.64%
2000-04-10,21.19,20.5,21.23,20.33,16.56M,3.37%
2000-04-11,21.12,20.96,21.17,20.5,16.07M,-0.33%
2000-04-12,20.81,21.15,21.65,20.69,21.73M,-1.47%
2000-04-13,20.02,20.77,20.77,19.83,23.65M,-3.80%
2000-04-14,18.33,19.33,19.65,18.33,28.12M,-8.44%
2000-04-17,18.0,18.37,18.79,17.25,29.06M,-1.80%
2000-04-18,17.96,18.0,18.77,17.71,22.98M,-0.22%
2000-04-19,18.31,18.04,18.5,17.92,18.77M,1.95%
2000-04-20,19.23,18.37,19.31,18.37,18.27M,5.02%
2000-04-24,19.62,19.31,20.21,19.17,16.90M,2.03%
2000-04-25,19.9,19.35,20.25,19.19,18.11M,1.43%
2000-04-26,19.58,20.06,20.25,19.44,15.61M,-1.61%
2000-04-27,19.23,19.21,19.48,18.83,16.55M,-1.79%
2000-04-28,18.46,18.94,19.1,18.46,15.04M,-4.00%
2000-05-01,19.31,18.79,19.6,18.73,15.33M,4.60%
2000-05-02,19.21,19.1,19.27,18.9,14.46M,-0.52%
2000-05-03,17.81,18.08,18.17,17.58,31.37M,-7.29%
2000-05-04,17.0,17.98,17.98,16.81,32.30M,-4.55%
2000-05-05,17.1,16.73,17.62,16.73,25.92M,0.59%
2000-05-08,17.46,17.08,17.46,16.5,22.88M,2.11%
2000-05-09,17.67,18.12,18.29,17.5,26.66M,1.20%
2000-05-10,18.9,17.81,19.04,17.67,33.74M,6.96%
2000-05-11,18.67,18.98,19.02,18.33,18.32M,-1.22%
2000-05-12,18.94,18.58,19.06,18.44,13.11M,1.45%
2000-05-15,19.0,18.75,19.1,18.5,12.82M,0.32%
2000-05-16,19.33,19.15,19.69,19.06,19.14M,1.74%
2000-05-17,18.79,18.9,18.92,18.48,13.78M,-2.79%
2000-05-18,19.31,18.75,19.31,18.73,14.66M,2.77%
2000-05-19,19.02,18.71,19.58,18.71,19.07M,-1.50%
2000-05-22,19.12,19.23,19.23,18.73,13.88M,0.53%
2000-05-23,19.06,19.19,19.46,18.94,12.87M,-0.31%
2000-05-24,18.96,18.42,19.0,17.58,31.02M,-0.52%
2000-05-25,18.33,18.6,18.9,18.02,13.86M,-3.32%
2000-05-26,18.0,18.08,18.33,17.71,11.99M,-1.80%
2000-05-30,17.79,17.69,18.04,17.56,13.06M,-1.17%
2000-05-31,19.21,18.29,20.0,18.17,22.98M,7.98%
2000-06-01,19.0,19.04,19.23,18.75,14.36M,-1.09%
2000-06-02,19.69,19.62,20.02,19.35,21.26M,3.63%
