Date,Price,Open,High,Low,Vol.,Change %
2000-01-03,17.38,17.75,17.88,16.69,3.83M,1.11%
2000-01-04,17.31,17.31,18.0,17.12,4.74M,-0.40%
2000-01-05,17.38,17.25,17.62,17.19,2.68M,0.40%
2000-01-06,17.25,17.38,17.38,16.69,2.43M,-0.75%
2000-01-07,16.56,17.19,17.25,16.5,2.46M,-4.00%
2000-01-10,16.62,16.88,16.88,16.38,2.15M,0.36%
2000-01-11,16.44,16.56,16.62,16.12,1.39M,-1.08%
2000-01-12,16.81,16.38,16.88,16.38,1.64M,2.25%
2000-01-13,16.94,16.81,17.38,16.75,2.44M,0.77%
2000-01-14,16.75,16.94,16.94,16.62,1.21M,-1.12%
2000-01-18,16.75,16.88,17.06,16.69,1.92M,0.00%
2000-01-19,17.12,16.94,17.25,16.81,1.67M,2.21%
2000-01-20,16.75,17.06,17.12,16.56,1.77M,-2.16%
2000-01-21,16.62,17.06,17.06,16.56,2.49M,-0.78%
2000-01-24,16.31,16.75,16.88,16.19,1.93M,-1.87%
2000-01-25,16.06,16.12,16.5,15.75,2.46M,-1.53%
2000-01-26,16.56,16.5,17.0,16.31,2.69M,3.11%
2000-01-27,17.31,17.06,17.81,16.81,3.92M,4.53%
2000-01-28,17.69,17.62,18.06,17.38,4.15M,2.20%
2000-01-31,17.5,17.75,18.0,17.38,4.22M,-1.07%
2000-02-01,17.5,17.5,17.69,17.12,2.51M,0.00%
2000-02-02,17.38,17.5,17.62,17.25,3.08M,-0.69%
2000-02-03,18.12,17.62,18.5,17.38,3.94M,4.26%
2000-02-04,17.81,18.25,18.31,17.5,2.43M,-1.71%
2000-02-07,17.38,17.81,17.81,17.38,1.81M,-2.41%
2000-02-08,16.75,17.56,17.62,16.5,2.75M,-3.62%
2000-02-09,16.31,17.0,17.0,16.0,2.87M,-2.63%
2000-02-10,15.0,16.31,16.31,14.62,8.92M,-8.03%
2000-02-11,14.5,15.12,15.31,13.88,7.28M,-3.33%
2000-02-14,14.69,14.56,15.12,14.12,1.89M,1.31%
2000-02-15,14.56,14.88,14.94,14.12,3.67M,-0.88%
2000-02-16,14.5,14.5,15.25,14.19,3.95M,-0.41%
2000-02-17,15.88,15.44,15.94,14.94,2.85M,9.52%
2000-02-18,15.5,15.75,15.81,15.44,2.75M,-2.39%
2000-02-22,16.12,15.75,16.25,15.75,4.36M,4.00%
2000-02-23,15.75,16.12,16.25,15.75,4.03M,-2.30%
2000-02-24,15.75,15.94,16.0,15.5,3.30M,0.00%
2000-02-25,15.25,15.31,15.69,15.19,2.25M,-3.17%
2000-02-28,15.0,15.31,15.44,14.81,1.81M,-1.64%
2000-02-29,15.0,15.12,15.19,14.75,2.53M,0.00%
2000-03-01,14.75,15.12,15.25,14.62,2.88M,-1.67%
2000-03-02,14.5,15.0,15.0,14.38,2.08M,-1.69%
2000-03-03,14.62,14.81,14.81,14.44,3.00M,0.83%
2000-03-06,14.19,14.62,14.69,14.12,2.74M,-2.94%
2000-03-07,13.94,14.31,14.38,13.88,3.04M,-1.76%
2000-03-08,13.94,13.94,14.19,13.75,2.41M,0.00%
2000-03-09,13.94,13.94,14.06,13.69,2.16M,0.00%
