Date,Price,Open,High,Low,Vol.,Change %
2000-01-03,65.56,65.0,67.44,65.0,2.65M,-1.41%
2000-01-04,63.5,64.25,65.44,62.75,3.70M,-3.14%
2000-01-05,64.31,63.12,65.31,63.0,3.41M,1.28%
2000-01-06,66.19,65.0,66.19,64.31,2.46M,2.92%
2000-01-07,71.06,68.0,71.06,67.5,5.86M,7.36%
2000-01-10,68.12,71.06,71.06,67.94,2.83M,-4.14%
2000-01-11,68.5,67.0,69.38,67.0,3.31M,0.56%
2000-01-12,67.5,67.62,68.31,66.94,3.57M,-1.46%
2000-01-13,66.69,65.75,68.38,65.62,3.64M,-1.20%
2000-01-14,68.31,68.94,69.25,68.0,3.75M,2.43%
2000-01-18,67.31,69.38,69.38,66.5,2.08M,-1.46%
2000-01-19,67.75,66.0,68.0,65.75,2.19M,0.65%
2000-01-20,66.78,67.69,68.25,65.56,2.14M,-1.43%
2000-01-21,64.75,65.12,65.62,64.12,4.05M,-3.04%
2000-01-24,62.12,64.62,64.81,61.56,4.21M,-4.06%
2000-01-25,62.31,62.38,63.25,61.75,3.15M,0.31%
2000-01-26,62.75,62.94,63.38,62.12,2.23M,0.71%
2000-01-27,64.25,62.0,64.38,61.5,3.05M,2.39%
2000-01-28,65.31,65.0,67.38,64.88,4.28M,1.65%
2000-01-31,66.88,65.94,67.0,62.38,3.33M,2.40%
2000-02-01,65.56,65.88,66.5,64.69,2.98M,-1.97%
2000-02-02,65.06,65.5,66.06,63.88,2.07M,-0.76%
2000-02-03,65.25,65.31,65.81,63.62,2.64M,0.29%
2000-02-04,64.88,64.94,65.25,64.5,1.72M,-0.57%
2000-02-07,63.31,65.44,65.44,62.75,1.96M,-2.42%
2000-02-08,63.31,62.62,63.75,62.62,2.54M,0.00%
2000-02-09,61.75,64.38,64.38,61.69,3.21M,-2.46%
2000-02-10,62.31,61.88,63.0,61.81,2.08M,0.91%
2000-02-11,61.62,62.5,62.56,61.06,3.27M,-1.11%
2000-02-14,60.75,61.38,62.0,60.44,2.76M,-1.41%
2000-02-15,61.19,60.88,61.69,60.62,2.99M,0.72%
2000-02-16,61.25,62.0,62.44,61.19,3.29M,0.10%
2000-02-17,60.19,61.75,61.94,60.19,3.29M,-1.73%
2000-02-18,58.5,60.31,60.38,58.25,3.68M,-2.81%
2000-02-22,59.5,59.75,60.38,57.62,2.72M,1.71%
2000-02-23,60.31,59.75,60.88,58.31,2.49M,1.36%
2000-02-24,58.56,59.94,60.25,57.88,2.61M,-2.90%
2000-02-25,56.69,58.44,58.81,56.12,2.55M,-3.19%
2000-02-28,57.5,57.0,58.44,57.0,3.83M,1.43%
2000-02-29,59.44,58.5,60.5,58.38,4.14M,3.37%
2000-03-01,58.88,59.44,60.25,58.0,4.19M,-0.94%
2000-03-02,57.69,57.88,59.38,57.19,2.10M,-2.02%
2000-03-03,58.0,58.62,59.0,57.56,2.09M,0.54%
2000-03-06,57.62,57.25,58.69,57.12,2.55M,-0.66%
2000-03-07,54.5,57.88,57.94,54.0,4.00M,-5.41%
2000-03-08,55.5,55.0,57.38,54.5,4.28M,1.83%
2000-03-09,60.06,56.44,60.06,56.44,3.85M,8.22%
2000-03-10,61.19,60.12,61.94,60.0,3.54M,1.88%
2000-03-13,59.25,61.0,61.0,57.62,2.13M,-3.17%
2000-03-14,57.44,58.25,58.69,57.38,2.13M,-3.05%
2000-03-15,62.75,57.44,63.5,57.38,4.36M,9.24%
2000-03-16,64.75,63.88,65.94,63.0,5.32M,3.19%
2000-03-17,61.38,63.88,63.94,61.0,4.84M,-5.20%
2000-03-20,60.75,61.38,61.44,59.62,2.27M,-1.03%
2000-03-21,61.69,59.75,62.0,59.69,2.99M,1.55%
2000-03-22,63.56,62.38,64.31,61.62,3.35M,3.03%
2000-03-23,64.38,64.19,64.81,63.56,3.16M,1.29%
2000-03-24,62.12,64.12,64.19,61.12,2.06M,-3.51%
2000-03-27,60.5,62.0,62.31,59.94,2.01M,-2.61%
2000-03-28,60.25,59.81,61.0,59.5,2.11M,-0.41%
2000-03-29,61.0,60.12,61.5,60.12,2.83M,1.24%
2000-03-30,60.75,61.25,63.12,60.75,3.10M,-0.41%
2000-03-31,62.62,61.25,64.5,60.12,3.24M,3.08%
2000-04-03,65.38,64.25,65.5,64.0,2.74M,4.41%
2000-04-04,69.0,65.62,69.38,65.44,6.70M,5.54%
2000-04-05,67.46,68.12,69.0,66.88,3.39M,-2.23%
2000-04-06,65.88,66.0,67.0,65.06,2.19M,-2.34%
2000-04-07,64.31,65.62,65.75,64.19,1.61M,-2.38%
2000-04-10,64.88,64.0,66.75,63.75,2.88M,0.89%
2000-04-11,66.88,65.0,66.94,64.88,2.37M,3.08%
2000-04-12,65.12,66.25,67.0,64.75,2.62M,-2.63%
2000-04-13,70.0,68.44,70.0,68.0,4.52M,7.49%
2000-04-14,67.44,68.5,69.94,66.5,4.06M,-3.66%
2000-04-17,70.0,67.44,70.0,67.38,3.88M,3.80%
2000-04-18,73.25,69.81,74.0,69.5,6.47M,4.64%
2000-04-19,75.62,74.19,76.25,73.25,6.15M,3.24%
2000-04-20,75.75,76.44,76.88,75.0,4.31M,0.17%
2000-04-24,77.5,75.75,78.5,75.75,4.80M,2.31%
2000-04-25,77.0,77.06,77.31,76.19,3.80M,-0.65%
2000-04-26,77.81,76.5,78.12,75.5,4.07M,1.05%
2000-04-27,77.94,77.0,78.0,76.19,2.52M,0.17%
2000-04-28,77.12,77.12,77.69,76.0,2.65M,-1.05%
2000-05-01,77.38,78.0,79.44,77.0,3.42M,0.34%
2000-05-02,78.0,76.94,78.69,76.88,2.58M,0.80%
2000-05-03,79.0,78.0,79.06,77.31,2.59M,1.28%
2000-05-04,79.25,79.0,79.62,77.69,2.96M,0.32%
2000-05-05,79.75,77.5,79.94,77.5,3.17M,0.63%
2000-05-08,80.5,79.94,80.5,78.75,2.50M,0.94%
2000-05-09,79.62,80.25,80.31,79.0,2.65M,-1.09%
2000-05-10,77.25,77.88,78.69,76.0,4.57M,-2.98%
2000-05-11,74.88,75.25,75.94,74.25,2.62M,-3.07%
2000-05-12,75.44,74.25,76.12,73.0,3.13M,0.75%
2000-05-15,76.44,75.38,76.94,75.25,3.44M,1.33%
2000-05-16,74.94,75.5,76.5,74.75,3.34M,-1.96%
2000-05-17,73.88,74.62,74.75,72.88,4.04M,-1.41%
2000-05-18,73.75,73.88,74.81,73.62,2.64M,-0.18%
2000-05-19,75.94,73.94,76.06,73.69,2.78M,2.97%
2000-05-22,75.19,76.25,77.0,73.69,2.52M,-0.99%
2000-05-23,75.56,74.62,76.19,73.88,1.87M,0.49%
2000-05-24,77.12,75.56,77.62,75.44,2.27M,2.06%
2000-05-25,78.62,78.5,79.62,77.25,3.40M,1.95%
2000-05-26,78.81,77.75,79.38,77.75,1.72M,0.24%
2000-05-30,76.5,77.88,78.0,75.44,2.04M,-2.93%
2000-05-31,76.12,76.0,77.44,75.0,2.22M,-0.50%
2000-06-01,77.06,77.0,77.75,76.25,2.99M,1.23%
2000-06-02,73.12,76.94,76.94,72.31,4.23M,-5.11%
2000-06-05,72.44,71.62,73.0,71.25,3.26M,-0.93%
2000-06-06,74.12,71.25,74.38,71.25,2.25M,2.32%
2000-06-07,74.88,74.38,75.88,74.0,2.49M,1.03%
2000-06-08,74.94,74.62,75.56,73.38,1.81M,0.08%
2000-06-09,76.19,73.88,76.5,73.88,2.70M,1.67%
2000-06-12,78.25,77.0,79.0,76.75,8.89M,2.70%
2000-06-13,80.75,78.12,80.94,78.06,4.02M,3.19%
2000-06-14,82.81,81.12,82.94,80.94,5.00M,2.55%
2000-06-15,83.0,82.81,83.44,81.69,3.67M,0.23%
2000-06-16,84.94,83.0,85.25,82.38,6.62M,2.34%
2000-06-19,86.38,84.12,86.81,84.12,3.68M,1.70%
2000-06-20,86.58,86.25,87.12,85.44,4.38M,0.23%
2000-06-21,86.75,86.62,89.44,86.25,5.56M,0.20%
2000-06-22,84.5,86.25,86.31,83.88,3.32M,-2.59%
2000-06-23,85.31,84.5,85.31,84.31,1.67M,0.96%
2000-06-26,86.56,85.31,87.69,84.88,3.17M,1.47%
