Date,Price,Open,High,Low,Vol.,Change %
2000-01-03,24.91,25.16,26.06,24.75,1.37M,-0.99%
2000-01-04,24.47,24.66,24.78,24.31,983.60K,-1.77%
2000-01-05,24.91,24.47,25.34,24.47,3.41M,1.80%
2000-01-06,26.75,24.91,26.84,24.84,2.46M,7.39%
2000-01-07,26.78,26.62,26.97,26.22,2.13M,0.11%
2000-01-10,26.81,26.59,26.88,26.47,1.39M,0.11%
2000-01-11,27.25,26.69,27.47,26.69,2.30M,1.64%
2000-01-12,26.78,27.12,27.44,26.28,1.50M,-1.72%
2000-01-13,26.41,26.75,27.28,26.41,1.14M,-1.38%
2000-01-14,26.72,26.72,27.0,26.66,995.20K,1.17%
2000-01-18,25.56,26.22,26.28,25.19,1.19M,-4.34%
2000-01-19,24.59,25.19,25.22,24.31,1.54M,-3.79%
2000-01-20,23.69,24.47,24.47,22.75,1.87M,-3.66%
2000-01-21,23.44,23.81,23.88,23.34,1.57M,-1.06%
2000-01-24,24.38,23.31,24.5,23.12,2.16M,4.01%
2000-01-25,21.97,23.38,23.5,21.19,3.92M,-9.89%
2000-01-26,21.47,21.97,22.38,21.12,2.48M,-2.28%
2000-01-27,21.88,21.12,22.0,21.06,2.67M,1.91%
2000-01-28,20.41,21.69,21.75,20.0,2.03M,-6.72%
2000-01-31,20.38,20.5,20.5,19.25,2.81M,-0.15%
2000-02-01,20.5,20.25,20.62,19.78,2.20M,0.59%
2000-02-02,19.5,20.5,20.5,19.0,3.57M,-4.88%
2000-02-03,20.25,19.94,20.78,19.88,3.14M,3.85%
2000-02-04,20.69,20.12,20.88,20.09,2.35M,2.17%
2000-02-07,21.0,20.81,21.19,20.62,3.29M,1.50%
2000-02-08,20.34,20.56,21.0,20.31,1.68M,-3.14%
2000-02-09,19.69,20.22,20.22,19.53,2.57M,-3.20%
2000-02-10,19.22,19.69,19.94,18.88,2.18M,-2.39%
2000-02-11,18.81,19.09,19.12,18.56,2.33M,-2.13%
2000-02-14,19.41,18.69,19.5,18.5,1.75M,3.19%
2000-02-15,20.12,19.19,20.31,19.12,3.78M,3.66%
2000-02-16,20.53,20.19,20.81,19.94,2.29M,2.04%
2000-02-17,20.44,20.41,21.0,20.38,1.51M,-0.44%
2000-02-18,19.81,20.25,20.38,19.69,1.34M,-3.08%
2000-02-22,19.75,19.69,19.88,19.56,1.89M,-0.30%
2000-02-23,19.19,19.88,20.25,19.19,2.67M,-2.84%
2000-02-24,17.97,19.22,19.22,17.56,2.29M,-6.36%
2000-02-25,17.75,17.91,18.12,17.56,1.50M,-1.22%
2000-02-28,17.66,17.56,18.06,17.44,1.98M,-0.51%
2000-02-29,16.88,17.56,17.69,16.69,2.78M,-4.42%
2000-03-01,16.66,17.0,17.06,16.5,1.60M,-1.30%
2000-03-02,16.34,16.69,16.94,16.19,1.54M,-1.92%
2000-03-03,17.06,16.5,17.44,16.5,3.21M,4.41%
2000-03-06,16.94,16.88,17.25,16.81,2.26M,-0.70%
2000-03-07,16.03,16.84,16.88,15.94,1.03M,-5.37%
2000-03-08,16.06,16.12,16.5,15.94,2.26M,0.19%
2000-03-09,15.91,16.06,16.06,15.69,1.28M,-0.93%
2000-03-10,16.75,15.88,17.25,15.88,2.69M,5.28%
2000-03-13,16.69,16.62,17.0,16.12,1.63M,-0.36%
2000-03-14,16.81,16.81,17.19,16.69,1.87M,0.72%
2000-03-15,18.62,16.94,19.5,16.94,2.93M,10.77%
2000-03-16,20.03,18.81,20.25,18.75,3.43M,7.57%
2000-03-17,18.5,19.75,19.78,17.97,2.06M,-7.64%
2000-03-20,19.0,18.75,19.88,18.75,1.13M,2.70%
2000-03-21,19.47,19.06,19.62,18.88,1.24M,2.47%
2000-03-22,18.81,19.22,19.25,18.56,1.74M,-3.39%
2000-03-23,18.88,18.78,19.69,18.78,1.29M,0.37%
2000-03-24,19.41,18.5,19.56,18.5,1.36M,2.81%
2000-03-27,19.09,19.41,19.78,19.03,1.35M,-1.65%
2000-03-28,19.38,19.03,20.28,19.03,1.55M,1.52%
2000-03-29,19.91,19.62,20.25,19.62,1.58M,2.73%
2000-03-30,20.72,20.0,21.59,19.81,2.35M,4.07%
2000-03-31,20.81,20.75,21.38,20.12,1.89M,0.43%
2000-04-03,20.84,20.69,21.06,20.38,1.02M,0.14%
2000-04-04,20.94,21.06,21.56,20.23,2.18M,0.48%
2000-04-05,20.5,20.81,21.25,19.81,1.24M,-2.10%
2000-04-06,20.97,20.62,21.12,20.53,1.32M,2.29%
2000-04-07,20.69,20.66,20.84,20.56,929.40K,-1.34%
2000-04-10,20.75,20.81,21.06,20.62,963.40K,0.29%
2000-04-11,22.28,20.56,22.38,20.53,2.23M,7.37%
2000-04-12,22.16,21.78,22.56,21.75,1.63M,-0.54%
2000-04-13,21.44,22.25,22.25,21.31,832.40K,-3.25%
2000-04-14,19.94,21.0,21.12,19.88,1.97M,-7.00%
2000-04-17,19.97,20.0,20.31,19.44,1.17M,0.15%
2000-04-18,19.03,19.84,19.88,18.75,1.42M,-4.71%
2000-04-19,19.25,19.31,19.59,18.97,1.35M,1.16%
2000-04-20,21.03,19.12,21.81,19.12,2.53M,9.25%
2000-04-24,21.09,21.0,21.66,20.75,2.42M,0.29%
2000-04-25,21.38,20.75,21.5,20.75,1.86M,1.38%
2000-04-26,21.75,21.38,22.12,21.12,2.85M,1.73%
2000-04-27,21.81,21.0,21.97,21.0,1.74M,0.28%
2000-04-28,22.22,21.81,22.66,21.72,2.13M,1.88%
2000-05-01,22.5,22.0,22.53,21.69,1.61M,1.26%
2000-05-02,23.38,22.5,23.56,22.34,1.77M,3.91%
2000-05-03,22.94,23.06,23.31,22.91,1.55M,-1.88%
2000-05-04,22.75,22.81,22.88,22.62,2.04M,-0.83%
2000-05-05,23.06,22.62,23.25,22.62,901.00K,1.36%
2000-05-08,22.84,22.94,23.5,22.75,816.60K,-0.95%
2000-05-09,22.62,22.81,22.94,22.31,997.00K,-0.96%
2000-05-10,22.09,22.5,22.72,22.09,1.22M,-2.34%
2000-05-11,22.69,22.31,22.91,22.28,1.38M,2.72%
2000-05-12,22.47,22.59,22.69,22.06,883.80K,-0.97%
2000-05-15,23.0,22.0,23.25,21.81,1.15M,2.36%
2000-05-16,22.75,23.0,23.0,22.62,754.00K,-1.09%
2000-05-17,22.5,22.56,22.94,22.31,631.60K,-1.10%
2000-05-18,22.75,22.38,22.75,22.31,808.40K,1.11%
2000-05-19,22.94,22.62,23.22,22.59,1.26M,0.84%
2000-05-22,23.25,23.12,23.75,22.81,1.18M,1.35%
2000-05-23,23.97,23.25,24.19,23.25,2.12M,3.10%
2000-05-24,23.59,23.69,23.69,23.19,1.50M,-1.59%
2000-05-25,22.25,23.5,23.56,21.84,1.57M,-5.68%
2000-05-26,21.03,21.88,21.88,20.5,3.45M,-5.48%
2000-05-30,20.94,21.12,21.22,20.06,3.11M,-0.43%
2000-05-31,21.0,20.81,21.44,20.69,1.47M,0.29%
2000-06-01,20.72,21.19,21.19,20.53,1.30M,-1.33%
2000-06-02,20.44,20.75,20.78,20.41,1.71M,-1.35%
2000-06-05,20.34,20.47,20.84,20.0,956.00K,-0.49%
2000-06-06,20.25,20.12,20.34,20.12,1.11M,-0.44%
2000-06-07,19.88,20.12,20.31,19.81,1.32M,-1.83%
2000-06-08,19.72,20.0,20.0,19.53,820.40K,-0.80%
2000-06-09,19.84,19.88,20.19,19.78,1.02M,0.61%
2000-06-12,19.75,19.78,20.22,19.75,786.20K,-0.45%
2000-06-13,19.12,19.62,20.0,19.0,1.00M,-3.19%
2000-06-14,19.66,19.25,20.12,19.25,2.95M,2.82%
2000-06-15,19.28,19.75,19.94,19.03,1.55M,-1.93%
2000-06-16,19.28,19.5,19.5,18.97,2.05M,0.00%
2000-06-19,18.78,19.28,19.38,18.78,2.62M,-2.59%
2000-06-20,19.12,18.97,19.34,18.62,2.10M,1.81%
2000-06-21,18.59,19.0,19.12,18.28,1.00M,-2.77%
2000-06-22,18.66,18.53,18.78,18.5,1.26M,0.38%
2000-06-23,18.53,18.66,19.16,18.38,1.92M,-0.70%
2000-06-26,18.28,19.0,19.0,18.19,1.21M,-1.35%
2000-06-27,19.44,18.41,19.72,18.38,1.79M,6.35%
2000-06-28,19.3,19.25,19.5,18.91,1.25M,-0.72%
2000-06-29,18.59,19.47,19.5,18.41,1.42M,-3.68%
2000-06-30,18.72,19.06,19.47,18.62,2.37M,0.70%
2000-07-03,19.22,18.88,19.44,18.88,700.60K,2.67%
2000-07-05,19.19,18.88,19.47,18.88,1.80M,-0.16%
2000-07-06,18.56,19.0,19.06,18.12,2.17M,-3.28%
2000-07-07,18.25,18.56,18.81,18.22,2.08M,-1.67%
2000-07-10,18.5,18.25,18.88,18.25,7.85M,1.37%
2000-07-11,18.88,18.5,19.0,18.47,8.25M,2.05%
2000-07-12,19.22,19.0,19.31,18.81,5.81M,1.80%
2000-07-13,19.66,19.12,19.75,19.12,3.23M,2.29%
