Date,Price,Open,High,Low,Vol.,Change %
2000-01-03,39.62,39.94,40.06,38.94,4.52M,-1.71%
2000-01-04,38.81,39.31,39.56,38.38,4.22M,-2.04%
2000-01-05,39.44,38.81,40.38,38.81,5.23M,1.62%
2000-01-06,38.88,39.12,39.38,38.69,4.81M,-1.42%
2000-01-07,39.88,39.0,40.0,38.88,5.12M,2.57%
2000-01-10,40.06,40.0,41.0,39.75,4.11M,0.45%
2000-01-11,41.0,40.12,41.5,40.12,5.44M,2.35%
2000-01-12,42.75,40.94,43.06,40.62,8.09M,4.27%
2000-01-13,42.31,42.69,43.62,41.88,5.70M,-1.03%
2000-01-14,42.61,42.81,42.81,41.88,3.37M,0.71%
2000-01-18,41.5,42.38,42.5,41.19,3.40M,-2.61%
2000-01-19,42.38,41.0,42.62,41.0,3.34M,2.12%
2000-01-20,41.0,42.56,42.56,41.0,3.31M,-3.26%
2000-01-21,41.06,41.62,41.88,40.44,3.72M,0.15%
2000-01-24,39.5,41.25,41.44,39.5,3.59M,-3.80%
2000-01-25,39.81,39.75,40.25,39.19,3.30M,0.78%
2000-01-26,35.75,39.62,39.62,34.69,16.70M,-10.20%
2000-01-27,37.62,36.0,37.94,35.88,12.08M,5.23%
2000-01-28,36.75,37.12,37.44,36.38,4.44M,-2.31%
2000-01-31,37.38,37.25,38.0,37.12,4.84M,1.71%
2000-02-01,36.62,37.44,37.56,36.5,4.68M,-2.03%
2000-02-02,35.5,36.62,36.75,35.38,5.77M,-3.06%
2000-02-03,35.0,35.56,36.19,34.44,9.23M,-1.41%
2000-02-04,35.12,35.88,35.88,34.62,7.75M,0.34%
2000-02-07,34.94,35.25,35.62,34.0,9.99M,-0.51%
2000-02-08,36.31,36.0,37.62,35.5,12.14M,3.92%
2000-02-09,35.88,36.69,36.69,35.38,5.92M,-1.18%
2000-02-10,35.5,35.5,36.25,35.12,5.35M,-1.06%
2000-02-11,34.94,35.06,35.44,34.81,3.92M,-1.58%
2000-02-14,33.88,35.31,35.31,33.31,4.43M,-3.03%
2000-02-15,33.75,33.75,34.12,33.44,4.67M,-0.38%
2000-02-16,33.38,33.75,34.44,33.25,3.80M,-1.10%
2000-02-17,33.75,33.56,34.06,33.38,4.27M,1.11%
2000-02-18,32.5,33.56,33.69,32.31,5.49M,-3.70%
2000-02-22,32.31,32.25,33.19,32.19,4.48M,-0.58%
2000-02-23,32.62,32.44,33.38,32.38,4.93M,0.96%
2000-02-24,31.38,32.12,32.38,31.0,6.15M,-3.80%
2000-02-25,31.0,31.5,31.81,30.75,4.55M,-1.21%
2000-02-28,31.12,31.25,31.69,30.62,3.88M,0.39%
2000-02-29,31.75,31.75,32.44,31.56,4.88M,2.02%
2000-03-01,31.25,31.88,31.94,31.12,4.97M,-1.57%
2000-03-02,30.88,31.12,31.44,30.75,4.88M,-1.18%
2000-03-03,32.31,31.0,32.31,30.56,5.19M,4.63%
2000-03-06,31.56,32.5,32.5,31.12,4.18M,-2.32%
2000-03-07,29.88,31.5,31.56,29.81,6.18M,-5.32%
2000-03-08,30.75,30.38,31.25,30.0,4.02M,2.91%
2000-03-09,32.0,30.62,32.0,30.0,4.78M,4.07%
2000-03-10,31.75,31.44,32.38,31.0,4.82M,-0.78%
2000-03-13,32.44,32.0,32.44,31.31,5.66M,2.17%
2000-03-14,30.5,32.44,32.5,30.06,5.24M,-5.98%
2000-03-15,32.5,30.69,32.88,30.44,7.04M,6.56%
2000-03-16,34.06,33.38,34.38,32.75,8.24M,4.80%
2000-03-17,33.81,35.0,35.19,33.75,5.46M,-0.73%
2000-03-20,34.56,34.25,34.88,34.12,2.74M,2.22%
2000-03-21,35.25,34.75,35.5,34.5,4.24M,2.00%
2000-03-22,35.25,35.25,35.75,35.0,3.75M,0.00%
2000-03-23,35.19,34.0,35.94,33.94,4.03M,-0.17%
2000-03-24,34.81,35.12,35.94,34.69,3.19M,-1.08%
2000-03-27,34.75,34.19,35.19,34.12,2.19M,-0.17%
2000-03-28,35.12,34.0,35.38,34.0,2.96M,1.06%
2000-03-29,36.81,34.88,37.06,34.81,5.29M,4.81%
2000-03-30,37.62,36.81,38.25,36.81,4.94M,2.20%
2000-03-31,37.38,37.88,37.94,36.81,3.74M,-0.64%
2000-04-03,38.5,37.81,38.62,37.56,4.46M,3.00%
2000-04-04,38.53,38.69,39.31,37.69,5.15M,0.08%
2000-04-05,38.56,38.0,38.62,37.25,4.05M,0.08%
2000-04-06,37.0,37.75,38.06,36.88,4.12M,-4.05%
2000-04-07,37.0,36.38,37.31,36.12,3.16M,0.00%
2000-04-10,36.38,36.88,36.94,35.88,3.23M,-1.68%
2000-04-11,37.69,36.12,37.75,35.88,3.35M,3.60%
2000-04-12,36.31,37.25,38.19,36.31,4.55M,-3.66%
2000-04-13,34.12,36.0,36.0,34.12,7.40M,-6.03%
2000-04-14,33.56,33.56,34.81,33.0,5.74M,-1.64%
2000-04-17,33.69,33.5,34.12,33.06,4.73M,0.39%
2000-04-18,32.5,33.75,33.81,31.94,5.44M,-3.53%
2000-04-19,33.06,32.94,33.19,32.5,3.47M,1.72%
2000-04-20,35.81,34.0,36.0,33.75,7.01M,8.32%
2000-04-24,39.0,35.25,39.0,35.12,9.60M,8.91%
2000-04-25,38.75,38.94,39.44,38.19,3.98M,-0.64%
2000-04-26,38.88,38.38,39.38,38.38,3.48M,0.34%
2000-04-27,38.81,38.12,39.12,38.06,2.90M,-0.18%
2000-04-28,38.06,38.56,38.75,37.56,2.94M,-1.93%
2000-05-01,38.88,38.0,39.31,38.0,3.09M,2.15%
2000-05-02,39.19,38.38,39.62,38.31,3.13M,0.80%
2000-05-03,37.31,38.25,38.69,37.06,5.24M,-4.80%
2000-05-04,35.75,36.62,36.69,35.56,6.52M,-4.18%
2000-05-05,35.69,35.5,36.19,35.0,4.97M,-0.17%
2000-05-08,35.81,35.75,36.12,35.19,3.12M,0.34%
2000-05-09,37.0,36.25,37.19,36.19,3.17M,3.32%
2000-05-10,38.62,37.19,38.81,37.12,6.00M,4.38%
2000-05-11,38.19,38.5,38.81,38.12,3.19M,-1.11%
2000-05-12,37.56,38.25,38.25,37.25,2.41M,-1.65%
2000-05-15,38.19,37.44,38.56,37.38,2.84M,1.68%
2000-05-16,39.19,38.81,39.25,38.44,2.75M,2.62%
2000-05-17,39.06,38.69,39.31,38.31,2.02M,-0.33%
2000-05-18,38.62,38.81,39.06,38.56,1.93M,-1.13%
2000-05-19,37.81,37.81,38.75,37.62,2.99M,-2.10%
2000-05-22,38.88,37.88,39.12,37.81,3.15M,2.83%
2000-05-23,39.12,38.38,39.25,37.75,2.76M,0.62%
2000-05-24,38.75,39.12,39.94,38.12,5.11M,-0.95%
2000-05-25,37.31,38.0,38.56,37.12,3.45M,-3.72%
2000-05-26,37.75,37.25,37.94,37.19,3.13M,1.18%
2000-05-30,36.56,37.0,37.06,35.94,4.21M,-3.15%
2000-05-31,35.81,36.0,36.56,35.31,3.88M,-2.05%
2000-06-01,35.62,35.56,35.81,35.25,2.98M,-0.53%
2000-06-02,36.12,36.12,36.31,35.19,3.70M,1.40%
2000-06-05,35.5,36.0,36.0,35.25,1.96M,-1.72%
2000-06-06,35.12,35.12,35.62,34.88,3.58M,-1.07%
2000-06-07,34.88,35.12,35.31,34.31,2.52M,-0.68%
2000-06-08,35.44,34.5,35.75,34.5,3.31M,1.61%
2000-06-09,33.88,35.5,36.0,31.62,15.30M,-4.40%
2000-06-12,32.62,33.25,33.31,32.0,8.15M,-3.72%
2000-06-13,32.38,32.25,33.19,32.06,6.05M,-0.74%
2000-06-14,31.75,32.0,33.0,31.62,5.94M,-1.95%
2000-06-15,32.12,31.75,32.31,31.62,6.28M,1.17%
2000-06-16,31.31,32.5,32.56,31.31,6.86M,-2.52%
2000-06-19,31.5,31.88,32.06,31.06,4.51M,0.61%
2000-06-20,31.5,31.69,31.75,31.0,3.93M,0.00%
2000-06-21,31.31,31.25,31.75,31.06,4.40M,-0.60%
2000-06-22,31.44,31.25,31.56,31.12,3.93M,0.42%
2000-06-23,32.62,31.69,33.19,31.5,7.98M,3.75%
2000-06-26,33.44,32.94,33.62,32.88,4.89M,2.51%
2000-06-27,32.69,33.25,33.5,32.62,3.42M,-2.24%
2000-06-28,32.21,32.5,32.81,32.0,3.18M,-1.47%
2000-06-29,31.25,31.94,31.94,31.06,5.55M,-2.98%
2000-06-30,32.94,31.5,33.04,31.44,6.15M,5.41%
2000-07-03,32.5,33.19,33.38,32.25,1.68M,-1.34%
