Date,Price,Open,High,Low,Vol.,Change %
2000-01-03,6.71,6.92,6.94,6.58,1.72M,-4.14%
2000-01-04,6.46,6.67,6.69,6.29,1.94M,-3.73%
2000-01-05,6.48,6.48,6.6,6.46,1.87M,0.31%
2000-01-06,6.58,6.69,6.75,6.52,1.75M,1.54%
2000-01-07,6.5,6.54,6.69,6.37,2.85M,-1.22%
2000-01-10,6.35,6.5,6.67,6.35,3.20M,-2.31%
2000-01-11,6.44,6.46,6.56,6.42,3.54M,1.42%
2000-01-12,6.44,6.46,6.58,6.42,2.13M,0.00%
2000-01-13,6.37,6.44,6.46,6.33,2.44M,-1.09%
2000-01-14,6.29,6.44,6.46,6.25,2.81M,-1.26%
2000-01-18,6.19,6.21,6.29,6.08,2.07M,-1.59%
2000-01-19,6.12,6.19,6.23,6.1,1.93M,-1.13%
2000-01-20,5.87,6.12,6.12,5.79,2.58M,-4.08%
2000-01-21,5.96,6.0,6.08,5.9,3.36M,1.53%
2000-01-24,5.98,5.96,6.1,5.89,1.95M,0.34%
2000-01-25,6.0,5.96,6.15,5.87,2.51M,0.33%
2000-01-26,5.94,6.0,6.12,5.92,1.58M,-1.00%
2000-01-27,5.98,5.94,6.06,5.9,1.51M,0.67%
2000-01-28,5.81,5.96,5.98,5.81,1.43M,-2.84%
2000-01-31,5.87,5.81,6.04,5.79,2.01M,1.03%
2000-02-01,6.15,5.83,6.17,5.83,2.24M,4.77%
2000-02-02,5.83,6.08,6.12,5.81,3.62M,-5.20%
2000-02-03,6.54,5.87,6.56,5.71,6.33M,12.18%
2000-02-04,6.71,6.87,6.9,6.71,5.15M,2.60%
2000-02-07,6.73,6.73,6.73,6.67,1.73M,0.30%
2000-02-08,6.46,6.67,6.67,6.37,2.13M,-4.01%
2000-02-09,6.4,6.46,6.48,6.25,2.29M,-0.93%
2000-02-10,6.46,6.4,6.56,6.37,1.35M,0.94%
2000-02-11,6.23,6.46,6.48,6.19,1.48M,-3.56%
2000-02-14,6.31,6.33,6.37,6.19,2.21M,1.28%
2000-02-15,6.67,6.33,6.67,6.31,3.10M,5.71%
2000-02-16,6.52,6.67,6.67,6.46,1.39M,-2.25%
2000-02-17,6.75,6.54,6.79,6.52,1.86M,3.53%
2000-02-18,6.6,6.69,6.73,6.52,2.17M,-2.22%
