Date,Price,Open,High,Low,Vol.,Change %
2000-01-03,22.75,23.06,23.31,22.75,2.26M,-3.19%
2000-01-04,23.0,22.62,23.12,22.62,1.41M,1.10%
2000-01-05,24.19,23.12,24.38,23.12,1.87M,5.17%
2000-01-06,24.25,24.44,24.69,24.19,1.57M,0.25%
2000-01-07,24.69,24.56,24.81,24.44,1.68M,1.81%
2000-01-10,24.5,24.56,24.81,24.38,1.09M,-0.77%
2000-01-11,24.31,24.38,24.56,24.25,830.40K,-0.78%
2000-01-12,24.75,24.25,24.94,24.25,1.24M,1.81%
2000-01-13,24.44,24.69,24.75,24.31,1.29M,-1.25%
2000-01-14,24.12,24.38,24.5,23.94,1.02M,-1.31%
2000-01-18,23.38,23.69,23.81,23.38,911.40K,-3.07%
2000-01-19,23.94,23.31,24.12,23.31,856.00K,2.40%
2000-01-20,23.81,23.62,23.94,23.5,1.20M,-0.54%
2000-01-21,24.5,24.12,24.75,23.94,1.54M,2.90%
2000-01-24,25.12,24.62,25.25,24.62,1.55M,2.53%
2000-01-25,25.38,25.06,25.38,24.75,2.15M,1.04%
2000-01-26,25.5,25.38,25.62,25.25,1.47M,0.47%
2000-01-27,25.56,25.5,25.88,25.5,1.17M,0.24%
2000-01-28,25.31,25.56,25.75,25.12,1.92M,-0.98%
2000-01-31,25.69,25.31,25.75,25.25,1.27M,1.50%
2000-02-01,25.38,25.62,25.88,25.38,1.39M,-1.21%
2000-02-02,25.19,25.25,25.44,25.12,2.13M,-0.75%
2000-02-03,24.88,24.62,25.31,24.62,2.04M,-1.23%
2000-02-04,24.31,25.12,25.12,24.31,1.66M,-2.29%
2000-02-07,24.31,24.19,24.44,24.19,772.60K,0.00%
2000-02-08,24.44,24.25,24.94,24.25,756.40K,0.53%
2000-02-09,24.25,24.38,24.62,24.19,1.48M,-0.78%
2000-02-10,24.5,24.25,24.69,24.25,1.50M,1.03%
2000-02-11,24.38,24.56,24.56,24.25,1.48M,-0.49%
2000-02-14,24.38,24.38,24.69,24.25,739.60K,0.00%
2000-02-15,24.31,24.38,24.5,24.19,1.24M,-0.29%
2000-02-16,23.88,24.31,24.31,23.81,2.84M,-1.77%
2000-02-17,23.5,23.88,23.94,23.38,3.06M,-1.59%
2000-02-18,23.06,23.38,23.56,22.94,1.35M,-1.87%
2000-02-22,23.06,23.12,23.44,23.06,1.86M,0.00%
2000-02-23,22.75,23.0,23.19,22.75,1.90M,-1.34%
2000-02-24,22.06,22.69,22.88,22.0,2.20M,-3.03%
2000-02-25,21.75,22.06,22.44,21.75,2.15M,-1.41%
2000-02-28,22.69,21.81,22.81,21.62,1.50M,4.32%
2000-02-29,22.19,22.62,22.62,21.94,1.41M,-2.20%
2000-03-01,21.94,21.94,22.06,21.56,2.10M,-1.13%
2000-03-02,22.06,21.94,22.25,21.75,1.91M,0.55%
2000-03-03,22.06,22.38,22.38,22.0,1.54M,0.00%
2000-03-06,21.19,21.88,21.88,21.0,1.85M,-3.94%
2000-03-07,21.31,21.25,21.38,21.0,2.42M,0.57%
2000-03-08,21.12,21.0,21.5,21.0,1.97M,-0.89%
2000-03-09,21.06,21.06,21.19,20.75,2.27M,-0.28%
2000-03-10,21.12,21.06,21.25,20.88,1.83M,0.28%
2000-03-13,21.31,21.06,21.31,20.81,1.38M,0.90%
2000-03-14,20.56,20.88,20.94,20.38,1.58M,-3.52%
2000-03-15,21.81,20.62,21.94,20.62,1.96M,6.08%
2000-03-16,22.75,22.0,23.31,21.75,2.47M,4.31%
2000-03-17,21.94,22.75,22.75,21.81,2.08M,-3.56%
2000-03-20,21.75,21.69,22.25,21.69,1.32M,-0.87%
2000-03-21,21.31,21.69,22.0,21.25,1.17M,-2.02%
2000-03-22,20.94,21.44,21.5,20.56,1.29M,-1.74%
2000-03-23,21.44,20.94,21.62,20.88,916.60K,2.39%
2000-03-24,21.88,21.25,21.88,21.25,1.31M,2.05%
2000-03-27,22.06,21.94,22.56,21.88,1.18M,0.82%
2000-03-28,21.81,21.81,22.19,21.5,2.14M,-1.13%
2000-03-29,21.75,21.88,22.31,21.62,1.22M,-0.28%
2000-03-30,21.69,21.62,21.88,21.44,1.45M,-0.28%
2000-03-31,21.75,21.69,21.81,21.38,1.22M,0.28%
2000-04-03,22.62,21.69,22.62,21.69,1.79M,4.00%
2000-04-04,23.12,22.62,23.5,22.62,2.75M,2.21%
2000-04-05,23.12,23.0,24.0,23.0,2.26M,0.00%
2000-04-06,22.44,23.12,23.19,22.38,1.70M,-2.94%
2000-04-07,22.25,22.38,22.62,22.12,1.80M,-0.85%
2000-04-10,23.31,22.19,23.31,22.12,1.55M,4.76%
2000-04-11,23.5,23.5,23.88,23.12,2.01M,0.82%
2000-04-12,24.12,23.88,24.69,23.5,1.53M,2.64%
2000-04-13,24.81,24.12,24.94,23.88,1.64M,2.86%
2000-04-14,23.75,24.75,25.25,23.62,1.93M,-4.27%
2000-04-17,24.5,23.75,24.5,23.0,1.67M,3.16%
2000-04-18,25.47,26.0,26.0,24.94,3.35M,3.96%
2000-04-19,24.88,25.0,25.0,24.19,1.18M,-2.32%
2000-04-20,25.56,24.81,25.56,24.81,1.81M,2.73%
2000-04-24,25.94,25.5,26.0,25.44,1.28M,1.49%
2000-04-25,26.69,26.25,26.75,25.88,1.20M,2.89%
2000-04-26,27.5,26.5,27.88,26.5,2.53M,3.03%
2000-04-27,26.0,27.06,27.19,25.56,3.14M,-5.45%
2000-04-28,24.94,25.62,25.62,24.94,1.50M,-4.08%
2000-05-01,24.25,25.06,25.12,23.94,2.11M,-2.77%
2000-05-02,24.44,24.5,24.88,24.12,1.84M,0.78%
2000-05-03,24.56,24.31,24.69,24.06,1.45M,0.49%
2000-05-04,24.88,24.44,25.38,23.69,1.45M,1.30%
2000-05-05,24.5,24.81,24.88,24.19,1.00M,-1.53%
2000-05-08,24.94,24.25,25.62,24.25,1.31M,1.80%
2000-05-09,25.0,24.88,25.19,24.5,966.90K,0.24%
2000-05-10,25.31,24.75,25.56,24.75,1.14M,1.24%
2000-05-11,25.88,25.25,26.0,25.25,1.27M,2.25%
2000-05-12,25.06,26.38,26.38,25.0,1.23M,-3.17%
2000-05-15,25.56,25.25,25.75,25.06,811.50K,2.00%
2000-05-16,25.25,25.19,25.44,24.69,992.50K,-1.21%
2000-05-17,24.5,24.62,24.81,24.19,1.12M,-2.97%
2000-05-18,25.19,24.44,25.38,24.44,1.01M,2.82%
2000-05-19,25.56,24.88,25.88,24.62,1.36M,1.47%
2000-05-22,25.94,25.88,26.19,25.81,1.48M,1.49%
2000-05-23,25.69,26.19,26.19,25.5,1.43M,-0.96%
2000-05-24,26.44,25.69,26.5,25.69,3.17M,2.92%
2000-05-25,26.19,26.44,26.44,25.75,1.16M,-0.95%
2000-05-26,26.38,26.06,26.75,26.06,1.24M,0.73%
2000-05-30,25.75,26.44,26.5,25.69,1.01M,-2.39%
2000-05-31,25.94,25.94,26.25,25.75,1.01M,0.74%
2000-06-01,25.81,25.94,26.0,25.56,1.59M,-0.50%
2000-06-02,25.06,25.81,25.81,25.0,1.51M,-2.91%
2000-06-05,24.25,25.25,25.25,24.25,1.20M,-3.23%
2000-06-06,24.88,24.62,25.31,24.62,2.18M,2.60%
2000-06-07,25.0,25.12,25.25,24.94,787.80K,0.48%
2000-06-08,24.94,25.0,25.06,24.5,987.50K,-0.24%
2000-06-09,25.0,24.81,25.25,24.81,1.89M,0.24%
2000-06-12,25.15,25.19,25.38,25.0,1.93M,0.60%
2000-06-13,25.69,25.25,25.81,25.19,1.99M,2.15%
2000-06-14,25.56,25.5,25.62,25.31,1.59M,-0.51%
2000-06-15,25.56,24.94,25.88,24.94,2.86M,0.00%
2000-06-16,25.06,25.81,26.0,24.94,3.59M,-1.96%
2000-06-19,24.75,25.31,25.38,24.56,1.57M,-1.24%
2000-06-20,25.0,24.56,25.12,24.38,1.62M,1.01%
2000-06-21,24.88,24.88,25.5,24.88,2.58M,-0.48%
2000-06-22,24.88,24.88,24.94,24.56,1.60M,0.00%
2000-06-23,24.88,24.88,25.0,24.69,1.08M,0.00%
2000-06-26,25.0,24.88,25.12,24.5,1.01M,0.48%
2000-06-27,24.19,25.06,25.12,24.19,1.50M,-3.24%
2000-06-28,24.58,24.19,24.75,23.62,2.30M,1.61%
2000-06-29,24.0,24.25,24.75,24.0,1.44M,-2.36%
2000-06-30,23.31,24.19,24.75,23.06,2.43M,-2.88%
2000-07-03,23.81,23.56,24.06,23.41,731.50K,2.15%
2000-07-05,23.81,24.0,24.38,23.75,1.22M,0.00%
2000-07-06,23.94,23.88,24.19,23.69,1.39M,0.55%
2000-07-07,24.25,23.94,24.5,23.94,796.50K,1.29%
2000-07-10,24.69,24.38,25.0,24.38,962.30K,1.81%
2000-07-11,24.81,24.56,24.81,24.25,825.20K,0.49%
2000-07-12,24.38,24.88,24.88,24.25,1.14M,-1.73%
2000-07-13,24.44,24.38,24.5,24.12,1.16M,0.25%
2000-07-14,24.12,24.5,24.62,23.94,1.23M,-1.31%
2000-07-17,24.12,24.06,24.25,24.0,1.05M,0.00%
2000-07-18,24.31,24.25,25.0,24.25,1.60M,0.79%
2000-07-19,25.12,24.5,25.25,24.5,1.67M,3.33%
2000-07-20,25.12,25.12,25.25,24.94,1.16M,0.00%
2000-07-21,25.19,25.19,25.38,25.12,1.23M,0.28%
2000-07-24,25.0,25.06,25.06,24.88,973.20K,-0.75%
2000-07-25,24.94,24.94,25.38,24.81,648.20K,-0.24%
2000-07-26,24.38,24.5,24.94,24.12,1.26M,-2.25%
2000-07-27,24.69,24.62,24.88,24.56,1.21M,1.27%
2000-07-28,24.81,24.5,25.19,24.5,1.92M,0.49%
2000-07-31,24.44,24.94,25.19,24.38,1.96M,-1.49%
2000-08-01,25.06,24.44,25.12,24.44,1.71M,2.54%
2000-08-02,26.12,25.06,26.19,25.0,2.44M,4.23%
2000-08-03,26.45,26.12,26.69,26.12,3.84M,1.26%
2000-08-04,26.5,26.5,26.5,25.94,3.18M,0.19%
2000-08-07,27.45,26.5,27.5,26.38,2.32M,3.58%
2000-08-08,27.88,27.31,27.94,27.06,2.39M,1.57%
2000-08-09,27.23,27.62,27.88,27.06,2.70M,-2.33%
2000-08-10,27.14,27.25,27.31,27.0,825.60K,-0.33%
2000-08-11,27.19,27.06,27.69,27.06,1.79M,0.18%
2000-08-14,27.5,27.25,27.62,26.88,1.17M,1.14%
2000-08-15,27.56,27.19,27.81,27.12,1.36M,0.22%
2000-08-16,27.33,27.38,27.81,27.12,1.26M,-0.83%
2000-08-17,27.31,27.5,27.5,27.06,976.60K,-0.07%
2000-08-18,27.38,27.25,27.44,27.12,911.10K,0.26%
2000-08-21,27.44,27.44,27.44,27.12,927.30K,0.22%
2000-08-22,27.31,27.44,27.5,27.19,584.90K,-0.47%
2000-08-23,27.94,27.19,28.06,27.06,1.97M,2.31%
2000-08-24,28.0,27.94,28.06,27.88,2.12M,0.21%
2000-08-25,28.38,27.62,28.56,27.62,2.05M,1.36%
2000-08-28,28.88,28.06,29.0,28.06,1.81M,1.76%
2000-08-29,28.5,28.56,28.94,28.5,1.08M,-1.32%
2000-08-30,29.38,28.56,29.75,28.56,2.89M,3.09%
2000-08-31,29.96,29.31,30.06,29.31,2.83M,1.97%
2000-09-01,29.96,29.88,30.12,29.81,1.59M,0.00%
2000-09-05,30.62,29.94,30.62,29.94,1.61M,2.20%
2000-09-06,31.19,30.69,31.38,30.62,1.91M,1.86%
2000-09-07,31.75,31.12,31.94,31.0,2.82M,1.80%
2000-09-08,32.9,31.62,33.12,31.56,4.20M,3.62%
2000-09-11,33.08,32.75,33.62,32.69,3.16M,0.55%
2000-09-12,33.38,33.0,33.44,32.62,4.42M,0.91%
2000-09-13,34.06,33.62,35.0,33.62,5.08M,2.04%
2000-09-14,32.88,33.94,33.94,32.81,2.91M,-3.46%
2000-09-15,32.89,32.75,33.56,32.69,3.67M,0.03%
2000-09-18,33.11,33.0,33.38,32.62,1.93M,0.67%
2000-09-19,31.56,33.0,33.12,31.38,2.70M,-4.68%
2000-09-20,30.62,31.38,31.5,30.31,2.35M,-2.98%
2000-09-21,29.94,30.62,31.25,29.69,2.18M,-2.22%
2000-09-22,30.06,30.62,31.22,30.06,2.00M,0.40%
2000-09-25,31.12,31.06,31.25,30.12,2.28M,3.53%
2000-09-26,32.25,31.5,32.38,31.44,4.32M,3.63%
2000-09-27,32.02,32.25,32.5,31.38,3.48M,-0.71%
2000-09-28,32.06,32.0,32.44,31.88,2.03M,0.12%
2000-09-29,32.46,32.06,32.62,32.06,1.80M,1.25%
2000-10-02,32.06,32.31,32.31,31.5,1.85M,-1.23%
2000-10-03,30.88,31.81,32.44,30.81,2.23M,-3.68%
2000-10-04,29.44,30.94,31.31,29.19,3.44M,-4.66%
2000-10-05,29.0,29.56,30.19,28.88,1.72M,-1.49%
2000-10-06,29.19,29.06,30.0,29.06,1.04M,0.66%
2000-10-09,30.0,29.25,30.0,29.25,2.24M,2.77%
2000-10-10,29.94,30.12,30.94,29.75,1.30M,-0.20%
2000-10-11,30.19,30.19,30.56,29.56,2.35M,0.84%
2000-10-12,29.88,30.19,30.25,29.19,1.77M,-1.03%
2000-10-13,30.12,30.0,30.56,29.69,1.91M,0.80%
2000-10-16,29.88,29.75,30.75,29.69,2.04M,-0.80%
2000-10-17,29.94,29.88,30.12,29.69,1.45M,0.20%
2000-10-18,29.88,30.12,30.38,29.56,2.53M,-0.20%
2000-10-19,29.5,29.81,29.94,29.31,1.83M,-1.27%
2000-10-20,29.56,29.38,29.75,29.12,1.24M,0.20%
2000-10-23,29.94,29.81,30.38,29.38,1.19M,1.29%
2000-10-24,29.5,29.81,30.25,29.5,1.40M,-1.47%
2000-10-25,28.56,29.75,29.81,28.5,2.03M,-3.19%
2000-10-26,28.31,28.56,28.69,27.88,1.34M,-0.88%
2000-10-27,28.88,28.25,29.0,27.5,1.81M,2.01%
2000-10-30,29.75,28.94,29.81,28.94,1.02M,3.01%
2000-10-31,29.38,29.75,29.75,28.94,1.26M,-1.24%
2000-11-01,30.06,29.62,30.31,29.38,2.01M,2.31%
2000-11-02,29.06,30.0,30.0,29.06,1.97M,-3.33%
2000-11-03,29.19,29.06,29.5,28.62,1.48M,0.45%
2000-11-06,28.88,29.19,29.62,28.81,848.50K,-1.06%
2000-11-07,28.69,28.81,28.88,28.31,667.10K,-0.66%
2000-11-08,28.62,28.69,28.88,28.38,1.09M,-0.24%
2000-11-09,28.69,28.75,28.94,28.56,975.20K,0.24%
2000-11-10,28.88,28.69,29.31,28.69,1.08M,0.66%
2000-11-13,29.19,29.06,29.94,29.06,1.21M,1.07%
2000-11-14,28.19,29.12,29.12,28.12,1.68M,-3.43%
2000-11-15,28.88,28.44,29.12,28.25,828.80K,2.45%
2000-11-16,29.56,28.88,29.62,28.88,1.18M,2.35%
2000-11-17,31.0,29.62,31.0,29.56,2.50M,4.87%
2000-11-20,30.25,30.75,30.81,30.12,1.75M,-2.42%
2000-11-21,29.94,30.06,30.12,29.56,873.70K,-1.02%
2000-11-22,30.06,29.56,30.19,29.56,880.10K,0.40%
2000-11-24,30.06,30.06,30.31,30.0,533.80K,0.00%
2000-11-27,29.88,30.0,30.0,29.75,593.00K,-0.60%
2000-11-28,30.19,30.06,30.31,29.94,1.35M,1.04%
2000-11-29,30.69,30.19,30.88,30.19,1.45M,1.66%
2000-11-30,31.56,30.94,31.75,30.88,2.03M,2.83%
2000-12-01,31.0,31.81,31.81,30.38,1.37M,-1.77%
2000-12-04,31.19,31.12,31.75,31.06,1.47M,0.61%
2000-12-05,30.38,31.12,31.19,30.25,1.63M,-2.60%
2000-12-06,29.25,30.38,30.5,29.06,2.44M,-3.72%
2000-12-07,28.12,28.56,29.56,27.81,17.70M,-3.86%
2000-12-08,28.62,28.31,28.75,28.12,2.62M,1.78%
2000-12-11,28.81,28.62,29.0,28.31,2.98M,0.66%
2000-12-12,29.06,28.94,29.19,28.69,2.66M,0.87%
2000-12-13,30.5,28.88,30.5,28.69,5.21M,4.96%
2000-12-14,30.0,30.5,30.5,29.88,2.57M,-1.64%
2000-12-15,30.38,29.62,30.44,29.62,4.08M,1.27%
2000-12-18,31.19,30.5,31.19,30.38,2.58M,2.67%
2000-12-19,31.12,31.19,31.5,30.69,1.94M,-0.22%
2000-12-20,32.81,31.31,32.81,30.81,2.98M,5.43%
2000-12-21,32.56,32.62,32.88,32.0,2.19M,-0.76%
2000-12-22,32.94,32.12,32.94,32.0,1.34M,1.17%
2000-12-26,33.69,32.94,33.81,32.62,1.09M,2.28%
2000-12-27,33.62,33.69,33.88,33.38,935.80K,-0.21%
2000-12-28,33.38,33.69,33.69,33.06,908.80K,-0.71%
2000-12-29,33.25,33.44,33.5,33.06,784.70K,-0.39%
2001-01-02,32.25,32.75,32.75,32.12,1.37M,-3.01%
2001-01-03,31.25,32.44,33.0,30.69,3.01M,-3.10%
2001-01-04,29.0,30.88,30.88,28.12,6.28M,-7.20%
2001-01-05,28.5,29.06,29.75,28.5,4.53M,-1.72%
2001-01-08,29.25,28.5,29.31,28.5,1.50M,2.63%
2001-01-09,29.31,29.12,29.31,28.69,1.65M,0.21%
2001-01-10,28.88,29.31,29.69,28.56,2.01M,-1.47%
2001-01-11,27.31,29.0,29.0,26.75,2.74M,-5.44%
2001-01-12,28.06,27.5,28.06,26.81,2.20M,2.75%
2001-01-16,27.81,27.5,27.81,26.44,2.95M,-0.89%
2001-01-17,27.5,27.69,28.0,27.12,1.82M,-1.11%
2001-01-18,27.62,27.69,28.0,27.0,3.11M,0.44%
2001-01-19,28.19,26.88,28.62,26.81,2.92M,2.06%
2001-01-22,28.69,28.19,28.88,28.06,1.42M,1.77%
2001-01-23,28.81,28.69,29.56,28.5,1.75M,0.42%
2001-01-24,29.25,28.81,29.56,28.81,1.21M,1.53%
2001-01-25,29.56,29.31,29.88,29.25,1.50M,1.06%
2001-01-26,29.06,29.62,29.81,28.38,1.62M,-1.69%
2001-01-29,29.41,29.31,29.94,29.27,943.60K,1.20%
2001-01-30,29.46,29.25,29.65,29.05,1.62M,0.17%
2001-01-31,29.18,29.46,29.46,29.01,2.46M,-0.95%
2001-02-01,28.47,28.84,28.84,28.15,2.48M,-2.43%
2001-02-02,28.73,28.44,28.85,28.37,1.62M,0.91%
2001-02-05,29.05,28.73,29.25,28.73,1.14M,1.11%
2001-02-06,29.25,29.05,29.3,28.78,1.27M,0.69%
2001-02-07,29.45,29.25,29.74,29.1,1.53M,0.68%
2001-02-08,30.06,29.65,30.06,29.59,1.53M,2.07%
2001-02-09,30.19,30.12,30.5,30.0,1.21M,0.43%
2001-02-12,30.56,30.31,30.75,29.85,2.50M,1.23%
2001-02-13,30.45,30.55,30.73,29.96,2.12M,-0.36%
2001-02-14,30.22,30.5,30.64,29.91,1.46M,-0.76%
2001-02-15,29.6,30.21,30.22,29.4,2.48M,-2.05%
2001-02-16,30.33,30.24,30.41,30.05,1.70M,2.47%
2001-02-20,30.86,30.33,30.92,30.25,1.73M,1.75%
2001-02-21,30.55,31.0,31.13,30.54,1.74M,-1.00%
2001-02-22,30.58,30.65,31.4,30.09,1.47M,0.10%
2001-02-23,30.17,30.58,30.98,29.41,1.67M,-1.34%
2001-02-26,30.45,30.17,30.63,30.16,1.24M,0.93%
2001-02-27,30.83,30.4,30.85,30.32,1.42M,1.25%
2001-02-28,30.95,30.8,31.08,30.25,1.99M,0.39%
2001-03-01,30.98,31.0,31.35,30.67,1.99M,0.10%
2001-03-02,31.3,31.3,31.43,30.8,2.40M,1.03%
2001-03-05,31.41,31.4,31.59,31.13,970.40K,0.35%
2001-03-06,31.25,31.42,31.45,31.11,1.11M,-0.51%
2001-03-07,30.96,31.26,31.42,30.85,1.84M,-0.93%
2001-03-08,31.16,31.21,31.37,30.94,1.43M,0.65%
2001-03-09,30.95,31.1,31.15,30.81,1.47M,-0.67%
2001-03-12,30.8,30.6,31.15,30.57,1.48M,-0.48%
2001-03-13,30.27,30.8,30.8,30.24,1.56M,-1.72%
2001-03-14,29.68,30.1,30.25,29.58,1.75M,-1.95%
2001-03-15,31.74,31.43,31.88,31.07,5.16M,6.94%
2001-03-16,31.77,31.74,32.28,31.66,3.58M,0.09%
2001-03-19,32.27,31.85,32.57,31.85,2.72M,1.57%
2001-03-20,32.51,32.27,33.0,32.16,2.76M,0.74%
2001-03-21,32.65,32.4,32.94,32.4,4.59M,0.43%
2001-03-22,32.0,32.65,32.87,31.31,2.65M,-1.99%
2001-03-23,31.74,31.75,32.35,31.34,2.35M,-0.81%
2001-03-26,33.24,31.95,33.5,31.85,2.43M,4.73%
2001-03-27,33.71,33.1,33.98,33.1,2.21M,1.41%
2001-03-28,34.27,34.0,34.43,33.9,2.54M,1.66%
2001-03-29,34.55,34.27,34.6,33.75,2.59M,0.82%
2001-03-30,35.09,34.8,35.44,34.72,3.02M,1.56%
2001-04-02,35.29,35.25,35.72,34.88,2.64M,0.57%
2001-04-03,22.1,21.95,22.24,21.65,7.27M,-37.38%
2001-04-04,21.9,22.1,22.23,21.7,7.81M,-0.90%
2001-04-05,22.06,21.85,22.1,21.61,2.66M,0.73%
2001-04-06,21.47,22.0,22.06,20.89,5.12M,-2.67%
2001-04-09,21.99,21.47,22.35,21.47,2.69M,2.42%
2001-04-10,22.28,22.0,22.35,21.9,2.83M,1.32%
2001-04-11,22.39,22.75,22.75,22.0,3.26M,0.49%
2001-04-12,22.17,22.0,22.29,21.83,2.13M,-0.98%
2001-04-16,22.6,22.26,22.75,22.1,1.52M,1.94%
2001-04-17,22.99,22.6,23.0,22.54,2.23M,1.73%
2001-04-18,22.8,23.0,23.25,22.49,3.53M,-0.83%
2001-04-19,22.31,22.6,22.85,22.21,2.58M,-2.15%
2001-04-20,22.36,22.56,22.8,22.0,2.15M,0.22%
2001-04-23,22.68,22.65,22.79,22.4,1.72M,1.43%
