Date,Price,Open,High,Low,Vol.,Change %
2000-01-03,97.12,97.5,97.62,96.75,21.20K,-0.27%
2000-01-04,92.62,95.25,95.25,92.38,18.80K,-4.63%
2000-01-05,93.0,94.0,94.0,92.5,21.00K,0.41%
2000-01-06,84.75,84.5,85.5,84.5,54.80K,-8.87%
2000-01-07,86.0,84.12,86.12,84.12,59.80K,1.47%
2000-01-10,89.06,87.5,89.38,87.5,20.70K,3.56%
2000-01-11,87.19,87.94,87.94,87.19,39.30K,-2.10%
2000-01-12,85.5,85.5,86.0,85.25,27.70K,-1.94%
2000-01-13,85.81,86.0,86.25,85.5,13.00K,0.36%
2000-01-14,87.69,86.88,87.69,86.88,6.80K,2.19%
2000-01-18,84.62,85.0,85.0,84.19,17.00K,-3.50%
2000-01-19,80.62,80.0,80.81,79.88,55.90K,-4.73%
2000-01-20,83.62,83.0,83.62,83.0,14.20K,3.72%
2000-01-21,85.88,85.5,85.88,85.25,12.00K,2.70%
2000-01-24,86.94,86.88,88.0,86.62,50.50K,1.23%
2000-01-25,83.25,84.5,84.62,83.25,14.80K,-4.24%
2000-01-26,85.75,85.0,86.0,85.0,7.90K,3.00%
2000-01-27,85.62,85.31,86.12,85.31,6.70K,-0.15%
2000-01-28,86.0,86.88,87.0,86.0,52.30K,0.44%
2000-01-31,87.25,87.0,87.25,86.62,19.60K,1.45%
2000-02-01,89.25,87.5,89.25,87.5,16.50K,2.29%
2000-02-02,87.0,87.0,87.0,86.62,12.70K,-2.52%
2000-02-03,86.38,85.5,86.62,85.5,8.30K,-0.71%
2000-02-04,90.0,89.0,90.0,88.75,9.10K,4.19%
2000-02-07,91.88,90.75,92.5,90.75,26.70K,2.09%
2000-02-08,91.0,91.0,91.38,90.75,26.50K,-0.96%
2000-02-09,90.62,90.25,90.94,89.62,19.30K,-0.42%
2000-02-10,89.88,89.0,90.12,89.0,27.50K,-0.82%
2000-02-11,88.31,90.0,90.0,88.25,21.20K,-1.75%
2000-02-14,86.31,86.75,86.94,86.0,14.40K,-2.26%
2000-02-15,84.12,84.75,84.75,83.62,9.70K,-2.54%
2000-02-16,82.5,83.5,83.75,82.38,55.60K,-1.93%
2000-02-17,85.75,86.0,86.12,85.0,17.80K,3.94%
2000-02-18,84.38,84.25,85.38,83.75,47.20K,-1.60%
2000-02-22,80.69,81.0,81.0,80.5,19.40K,-4.37%
2000-02-23,82.38,80.94,82.5,80.94,11.50K,2.09%
2000-02-24,82.0,82.62,82.75,81.88,15.10K,-0.46%
2000-02-25,82.25,81.75,82.75,81.38,11.20K,0.30%
2000-02-28,83.12,82.25,83.12,81.94,17.60K,1.06%
2000-02-29,81.31,81.0,81.5,80.69,17.40K,-2.18%
2000-03-01,82.06,81.31,82.62,81.0,25.80K,0.92%
2000-03-02,81.38,81.81,81.88,81.25,17.00K,-0.83%
2000-03-03,81.94,81.56,82.38,81.38,19.10K,0.69%
2000-03-06,80.62,81.0,81.38,80.5,13.20K,-1.61%
2000-03-07,83.5,83.5,84.12,83.5,17.50K,3.57%
2000-03-08,85.0,83.75,85.31,83.75,39.60K,1.80%
2000-03-09,86.5,86.0,86.88,86.0,14.90K,1.76%
2000-03-10,89.69,89.5,90.56,89.38,18.10K,3.69%
2000-03-13,88.62,89.44,89.44,88.5,16.60K,-1.19%
2000-03-14,89.06,89.62,90.12,89.06,17.70K,0.50%
2000-03-15,88.75,89.06,89.06,88.25,15.20K,-0.35%
2000-03-16,92.5,91.38,92.5,90.88,80.20K,4.23%
2000-03-17,91.94,92.5,92.81,91.94,10.40K,-0.61%
2000-03-20,90.75,92.0,92.0,90.62,17.70K,-1.29%
2000-03-21,93.12,92.25,93.25,92.0,47.30K,2.61%
2000-03-22,90.25,90.75,90.75,89.75,24.60K,-3.08%
2000-03-23,91.88,90.25,92.0,90.25,21.60K,1.81%
2000-03-24,93.56,94.0,94.62,93.0,41.90K,1.83%
2000-03-27,97.88,98.0,98.25,97.62,31.70K,4.62%
2000-03-28,99.19,98.31,99.19,98.25,25.30K,1.34%
2000-03-29,101.56,100.62,101.75,100.62,22.10K,2.39%
2000-03-30,99.38,101.0,101.06,99.25,15.40K,-2.15%
2000-03-31,104.0,103.0,104.0,101.88,21.30K,4.65%
2000-04-03,104.75,104.75,105.5,104.06,25.30K,0.72%
2000-04-04,104.12,104.75,105.31,102.62,27.50K,-0.60%
2000-04-05,103.5,103.0,104.0,102.75,34.50K,-0.60%
2000-04-06,98.25,98.0,98.62,97.38,33.60K,-5.07%
2000-04-07,98.0,98.5,98.5,97.38,17.00K,-0.25%
2000-04-10,102.0,101.44,102.62,101.25,24.00K,4.08%
2000-04-11,102.25,102.31,102.88,102.0,10.80K,0.25%
2000-04-12,103.38,103.12,103.62,103.12,16.10K,1.11%
