Date,Price,Open,High,Low,Vol.,Change %
2000-01-03,6.72,6.64,6.76,6.62,3.43M,1.20%
2000-01-04,6.63,6.67,6.78,6.62,6.00M,-1.34%
2000-01-05,6.62,6.64,6.77,6.58,10.56M,-0.15%
2000-01-06,6.86,6.62,6.94,6.61,15.30M,3.63%
2000-01-07,7.66,7.19,7.69,7.11,16.16M,11.66%
2000-01-10,7.53,7.73,7.73,7.48,9.34M,-1.70%
2000-01-11,7.55,7.38,7.66,7.34,9.99M,0.27%
2000-01-12,7.48,7.48,7.62,7.44,6.38M,-0.93%
2000-01-13,7.71,7.52,7.74,7.48,6.98M,3.07%
2000-01-14,7.7,7.75,7.85,7.69,9.29M,-0.13%
2000-01-18,7.38,7.53,7.62,7.28,5.51M,-4.16%
2000-01-19,7.44,7.31,7.55,7.31,7.73M,0.81%
2000-01-20,7.62,7.44,7.62,7.31,8.46M,2.42%
2000-01-21,7.3,7.62,7.62,7.22,12.88M,-4.20%
2000-01-24,6.9,7.17,7.26,6.82,9.50M,-5.48%
2000-01-25,6.9,6.94,7.02,6.82,8.42M,0.00%
2000-01-26,6.88,6.81,7.04,6.81,8.80M,-0.29%
2000-01-27,6.77,6.88,6.91,6.73,9.05M,-1.60%
2000-01-28,6.58,6.53,6.83,6.53,12.75M,-2.81%
2000-01-31,6.62,6.58,6.91,6.57,4.79M,0.61%
2000-02-01,6.8,6.69,6.93,6.64,3.98M,2.72%
2000-02-02,6.98,6.86,7.06,6.86,6.66M,2.65%
2000-02-03,6.92,6.92,7.0,6.88,13.72M,-0.86%
2000-02-04,7.09,6.95,7.1,6.95,7.20M,2.46%
2000-02-07,7.27,7.0,7.31,6.98,11.62M,2.54%
2000-02-08,7.0,7.0,7.14,6.97,8.33M,-3.71%
2000-02-09,6.74,7.06,7.09,6.72,7.53M,-3.71%
2000-02-10,7.23,7.23,7.55,7.13,20.89M,7.27%
2000-02-11,7.0,7.14,7.39,6.98,18.90M,-3.18%
2000-02-14,7.11,7.08,7.19,7.05,7.28M,1.57%
2000-02-15,7.42,7.3,7.68,7.28,16.89M,4.36%
2000-02-16,7.66,7.46,7.81,7.41,16.41M,3.23%
2000-02-17,7.86,7.75,8.09,7.73,12.42M,2.61%
2000-02-18,7.23,7.77,7.81,7.16,15.17M,-8.02%
2000-02-22,7.35,7.25,7.45,7.21,5.83M,1.66%
