Date,Price,Open,High,Low,Vol.,Change %
2000-01-03,29.46,28.72,29.52,28.35,8.29M,2.15%
2000-01-04,31.18,29.64,31.43,29.58,15.83M,5.84%
2000-01-05,32.48,31.67,32.66,31.18,19.56M,4.17%
2000-01-06,31.18,32.54,32.66,31.18,7.80M,-4.00%
2000-01-07,30.69,31.55,31.67,30.38,6.68M,-1.57%
2000-01-10,35.37,34.51,35.43,33.52,33.51M,15.25%
2000-01-11,35.74,35.06,36.23,34.76,19.86M,1.05%
2000-01-12,33.22,35.37,35.43,32.85,12.92M,-7.05%
2000-01-13,34.32,33.95,34.51,33.34,8.61M,3.31%
2000-01-14,33.09,34.32,34.51,32.97,8.04M,-3.58%
2000-01-18,34.02,33.28,34.32,32.6,7.99M,2.81%
2000-01-19,34.26,33.83,34.45,33.59,6.46M,0.71%
2000-01-20,33.15,34.51,34.94,32.97,7.11M,-3.24%
2000-01-21,32.29,33.09,33.15,32.23,8.17M,-2.59%
2000-01-24,32.85,32.54,33.52,31.92,8.23M,1.73%
2000-01-25,36.97,37.47,37.47,35.99,29.51M,12.54%
2000-01-26,36.11,36.91,36.91,35.87,10.26M,-2.33%
2000-01-27,36.6,36.36,37.1,36.11,9.69M,1.36%
2000-01-28,36.23,36.3,36.97,35.93,7.40M,-1.01%
2000-01-31,35.8,35.56,35.93,35.31,7.80M,-1.19%
2000-02-01,35.5,35.5,35.93,35.43,7.14M,-0.84%
2000-02-02,36.73,35.43,37.47,35.31,9.28M,3.46%
2000-02-03,37.34,37.1,37.96,37.04,10.76M,1.66%
2000-02-04,37.59,37.47,37.71,36.48,6.19M,0.67%
2000-02-07,37.47,37.47,37.9,37.04,6.07M,-0.32%
2000-02-08,37.04,37.1,37.41,36.48,5.70M,-1.15%
2000-02-09,37.16,36.79,38.45,36.6,6.08M,0.32%
2000-02-10,36.42,36.36,37.34,36.36,5.60M,-1.99%
2000-02-11,37.34,36.54,38.08,36.3,7.15M,2.53%
2000-02-14,36.48,36.48,36.85,36.11,5.13M,-2.30%
2000-02-15,36.36,36.05,36.67,34.88,6.99M,-0.33%
2000-02-16,36.42,36.05,36.73,36.05,4.41M,0.17%
2000-02-17,35.99,36.17,36.36,35.19,4.69M,-1.18%
2000-02-18,35.0,35.87,35.87,34.82,6.41M,-2.75%
2000-02-22,32.91,34.82,34.94,32.17,12.57M,-5.97%
2000-02-23,33.65,33.03,34.14,32.17,8.26M,2.25%
2000-02-24,32.72,33.52,33.59,31.98,8.23M,-2.76%
2000-02-25,30.57,32.41,32.6,30.57,8.33M,-6.57%
2000-02-28,32.29,31.86,32.48,31.55,7.84M,5.63%
2000-02-29,33.52,32.04,33.52,31.8,5.43M,3.81%
2000-03-01,34.2,33.34,34.26,32.72,7.15M,2.03%
2000-03-02,34.02,33.95,34.14,33.34,6.50M,-0.53%
2000-03-03,35.99,35.87,35.99,34.39,14.36M,5.79%
2000-03-06,35.5,35.37,36.23,35.06,7.24M,-1.36%
2000-03-07,35.5,35.87,35.87,34.94,7.49M,0.00%
2000-03-08,34.45,35.37,35.43,34.39,6.21M,-2.96%
2000-03-09,35.74,34.63,35.74,34.14,5.55M,3.74%
2000-03-10,34.63,35.0,35.25,34.2,6.97M,-3.11%
2000-03-13,34.45,32.66,35.0,32.54,5.18M,-0.52%
2000-03-14,33.65,34.26,34.26,33.34,5.51M,-2.32%
2000-03-15,34.32,33.52,34.45,33.15,6.55M,1.99%
2000-03-16,34.82,34.51,35.0,33.28,8.22M,1.46%
2000-03-17,36.3,34.26,36.42,34.08,8.64M,4.25%
2000-03-20,38.88,37.28,38.95,37.16,16.76M,7.11%
2000-03-21,38.64,38.95,39.5,38.08,13.18M,-0.62%
2000-03-22,39.93,39.38,40.86,39.19,13.54M,3.34%
2000-03-23,40.98,39.32,41.35,39.25,8.05M,2.63%
2000-03-24,40.86,40.92,41.16,40.49,6.54M,-0.29%
2000-03-27,41.16,40.92,41.6,39.44,5.72M,0.73%
2000-03-28,40.36,40.67,41.9,40.06,7.49M,-1.94%
2000-03-29,40.24,40.43,40.61,39.69,5.09M,-0.30%
2000-03-30,39.69,39.44,40.43,39.19,5.35M,-1.37%
2000-03-31,40.67,40.92,40.92,39.69,5.29M,2.47%
2000-04-03,41.23,40.86,41.29,40.49,4.80M,1.38%
2000-04-04,40.55,41.16,41.35,37.84,6.95M,-1.65%
2000-04-05,39.44,39.56,40.18,38.7,5.01M,-2.74%
2000-04-06,39.87,39.81,40.67,39.44,3.57M,1.09%
2000-04-07,40.43,40.36,40.8,39.93,3.25M,1.40%
2000-04-10,40.73,40.18,40.8,39.69,3.62M,0.74%
2000-04-11,41.9,41.35,41.9,41.16,6.83M,2.87%
2000-04-12,39.5,42.03,43.01,39.44,8.30M,-5.73%
2000-04-13,38.7,40.18,40.18,38.7,5.01M,-2.03%
2000-04-14,38.33,38.21,38.95,37.16,8.14M,-0.96%
2000-04-17,38.21,36.97,38.21,36.54,6.45M,-0.31%
2000-04-18,38.95,37.96,39.19,37.47,4.22M,1.94%
