Stock,R2_Score,RMSE,MAE,MAPE
Eli Lilly_vs_McDonald’s,0.9679396842,0.2792187043,0.2211821699,0.06367168649
Eli Lilly_vs_Applied Materials,0.9744560261,0.1310571225,0.09525667286,0.04795263474
Eli Lilly_vs_NextEra Energy,0.9645954744,0.4061772094,0.3256986983,0.06935841215
Eli Lilly_vs_Southern,0.9660352241,0.1972075368,0.1535091745,0.05561700789
Eli Lilly_vs_Rio Tinto ADR,0.9885458763,0.240697323,0.1995810986,0.04749292272
Eli Lilly_vs_Waste Management,0.9294427738,0.217942711,0.1711498253,0.06743619432
Eli Lilly_vs_BHP Group Ltd ADR,0.9973164249,0.142325604,0.1159917789,0.03354696567
Eli Lilly_vs_Enbridge,0.9977135837,0.133739223,0.1080647895,0.02099916446
Eli Lilly_vs_Sherwin-Williams,0.9821372565,0.1502403966,0.09174773848,0.03865047183
Eli Lilly_vs_Linde PLC,0.8795372291,0.3122198992,0.2071509852,0.09440405963
Eli Lilly_vs_Elevance Health,0.976296625,0.2372716742,0.1775963179,0.05090973363
Eli Lilly_vs_McKesson,0.835275316,0.2953729642,0.1952473517,0.09808681684
Eli Lilly_vs_WW Grainger,0.9684503744,0.1256665063,0.1023496144,0.06708805751
Eli Lilly_vs_P&G,0.9475607032,0.2421927651,0.2004149768,0.07560253562
NVIDIA_vs_Alphabet A,0.99277172,0.1048430339,0.08455454149,0.0301466254
NVIDIA_vs_Amazon.com,0.9683311464,0.2842083736,0.2069335518,0.0564131852
NVIDIA_vs_Berkshire Hathaway B,0.9797859882,0.1255816749,0.09438610157,0.03046841833
NVIDIA_vs_JPMorgan,0.9851790053,0.09516629879,0.07505737201,0.02948387517
NVIDIA_vs_Exxon Mobil,0.9773331227,0.2570858335,0.190991889,0.05223380825
NVIDIA_vs_Caterpillar,0.9798354945,0.1024549549,0.08221315894,0.03241573192
NVIDIA_vs_Walt Disney,0.9339632774,0.8733096213,0.7204058898,0.07449313484
NVIDIA_vs_Chevron,0.9967728266,0.1218666893,0.1007068911,0.02700971259
NVIDIA_vs_UnitedHealth,0.9940707348,0.1446680779,0.1165106277,0.03329537299
NVIDIA_vs_Novo Nordisk ADR,0.9883660935,0.2438975231,0.1631377234,0.04717124822
NVIDIA_vs_Coca-Cola,0.9951259389,0.1344721884,0.09877400367,0.03484564805
NVIDIA_vs_McDonald’s,0.992096074,0.1674180177,0.1335001095,0.03529100296
NVIDIA_vs_Applied Materials,0.9951515577,0.1017072079,0.07805568241,0.02893451858
NVIDIA_vs_NextEra Energy,0.9878996363,0.2700960407,0.2263925254,0.0664433673
NVIDIA_vs_Southern,0.9937696459,0.091213517,0.06849417133,0.02728607436
NVIDIA_vs_Rio Tinto ADR,0.9940060439,0.2523311646,0.2177413389,0.06315243114
NVIDIA_vs_Waste Management,0.9929477731,0.1095063982,0.0843317146,0.03109486548
NVIDIA_vs_BHP Group Ltd ADR,0.9919920713,0.3274567368,0.2594436658,0.05967920536
NVIDIA_vs_Enbridge,0.9843067556,0.3739552081,0.2944910459,0.04516030741
NVIDIA_vs_Sherwin-Williams,0.989824623,0.1716277584,0.1331211952,0.04793207424
NVIDIA_vs_Linde PLC,0.9907932623,0.1296233754,0.06640218527,0.02645281993
NVIDIA_vs_Elevance Health,0.9903102077,0.2571161289,0.2284364875,0.06786261516
NVIDIA_vs_McKesson,0.9776792602,0.1151040434,0.09190871567,0.03078548568
NVIDIA_vs_WW Grainger,0.938432833,0.16167598,0.1354896725,0.05113476119
NVIDIA_vs_P&G,0.912280008,0.5103974717,0.3856953841,0.104916192
Alphabet A_vs_Amazon.com,0.9671213215,0.07191080734,0.05408652336,0.02983161065
Alphabet A_vs_Berkshire Hathaway B,0.9871594242,0.06874873991,0.05181216109,0.0287009142
Alphabet A_vs_JPMorgan,0.987669724,0.06516231707,0.05121163943,0.02544134876
Alphabet A_vs_Exxon Mobil,0.9654857781,0.1546772824,0.1223700751,0.05416096198
Alphabet A_vs_Caterpillar,0.9857268867,0.08128088537,0.06335204828,0.03344156793
Alphabet A_vs_Walt Disney,0.9944033938,0.1242361661,0.09156030859,0.01312132904
Alphabet A_vs_Chevron,0.9867185017,0.1106680511,0.08701449051,0.03361320505
Alphabet A_vs_UnitedHealth,0.9866723764,0.1420180612,0.1048685514,0.04378888159
Alphabet A_vs_Novo Nordisk ADR,0.9742435566,0.2461623691,0.1446893776,0.03779607616
Alphabet A_vs_Coca-Cola,0.9833333049,0.111546447,0.08257421434,0.03055260388
Alphabet A_vs_McDonald’s,0.9636258499,0.1996765371,0.1474568889,0.05064338127
Alphabet A_vs_Applied Materials,0.9455576073,0.1555337973,0.1280786557,0.06571867769
Alphabet A_vs_NextEra Energy,0.9889355345,0.1822579847,0.128302597,0.03257615663
Alphabet A_vs_Southern,0.9856105345,0.06746496724,0.05338185426,0.02312346983
Alphabet A_vs_Rio Tinto ADR,0.9867789705,0.1816353581,0.1437464331,0.04292085733
Alphabet A_vs_Waste Management,0.9634965232,0.08355056298,0.06662513514,0.03221328915
Alphabet A_vs_BHP Group Ltd ADR,0.9831647477,0.259829593,0.1987922069,0.05065915165
Alphabet A_vs_Enbridge,0.9749446898,0.334352792,0.2710103682,0.04944957186
Alphabet A_vs_Sherwin-Williams,0.9663643465,0.1396495576,0.09951785582,0.04239062029
Alphabet A_vs_Linde PLC,0.9729115743,0.1475228565,0.07674032784,0.03046242513
