Stock,R2_Score,RMSE,MAE,MAPE
Eli Lilly_vs_McDonald’s,0.9650001298,0.291738554,0.2237226115,0.05888471466
Eli Lilly_vs_Applied Materials,0.9968391498,0.04610185014,0.03435056223,0.02059715644
Eli Lilly_vs_NextEra Energy,0.9931182119,0.179075763,0.1329043,0.03141147413
Eli Lilly_vs_Southern,0.98942453,0.1100421258,0.09049456772,0.0342355385
Eli Lilly_vs_Rio Tinto ADR,0.9902548133,0.2220165805,0.2023813526,0.05439397013
Eli Lilly_vs_Waste Management,0.9931906199,0.06770572432,0.05315532039,0.02279360939
Eli Lilly_vs_BHP Group Ltd ADR,0.9992834395,0.07354490389,0.06055386583,0.01981360121
Eli Lilly_vs_Enbridge,0.8644172248,1.029872355,0.8914694519,0.1126034122
Eli Lilly_vs_Sherwin-Williams,0.9322354587,0.292626661,0.2341588235,0.08310476179
Eli Lilly_vs_Linde PLC,0.9728065825,0.1483426557,0.09868394447,0.04766637095
Eli Lilly_vs_Elevance Health,0.9839833644,0.1950412398,0.1554228184,0.04893524315
Eli Lilly_vs_McKesson,0.9929599726,0.06106306157,0.04620868748,0.03073826077
Eli Lilly_vs_WW Grainger,0.7750979624,0.3355205552,0.2760824056,0.1695870765
Eli Lilly_vs_P&G,0.9650566701,0.1977037376,0.1731735512,0.06494857289
NVIDIA_vs_Alphabet A,0.9888940551,0.1299570527,0.08985543874,0.02623291099
NVIDIA_vs_Amazon.com,0.9728284125,0.2632559557,0.1894575383,0.05046675055
NVIDIA_vs_Berkshire Hathaway B,0.9956877889,0.0580029415,0.04544384108,0.01742849466
NVIDIA_vs_JPMorgan,0.9932315596,0.06431152497,0.04925068252,0.0200005526
NVIDIA_vs_Exxon Mobil,0.9654959672,0.3171883498,0.2373030823,0.05991066158
NVIDIA_vs_Caterpillar,0.9850685489,0.0881637769,0.0641636597,0.0223471095
NVIDIA_vs_Walt Disney,0.9918304835,0.3071663716,0.2497263822,0.02643166413
NVIDIA_vs_Chevron,0.9953545909,0.1462129514,0.1258659301,0.03347833453
NVIDIA_vs_UnitedHealth,0.9695114331,0.3280505571,0.3121205154,0.0840219919
NVIDIA_vs_Novo Nordisk ADR,0.9889013454,0.2382208517,0.1705260722,0.05041239589
NVIDIA_vs_Coca-Cola,0.9941081238,0.147847436,0.1219547261,0.03465518309
NVIDIA_vs_McDonald’s,0.9922416147,0.1658694618,0.1466614597,0.04448808158
NVIDIA_vs_Applied Materials,0.9942144799,0.1111019849,0.0713274437,0.02008608361
NVIDIA_vs_NextEra Energy,0.9875073982,0.274438763,0.2377545158,0.06981265671
NVIDIA_vs_Southern,0.9963753176,0.06957253257,0.05492365177,0.01981518183
NVIDIA_vs_Rio Tinto ADR,0.9990668413,0.09956160186,0.07829671577,0.0258919035
NVIDIA_vs_Waste Management,0.9964857039,0.07730285485,0.05933593619,0.02136727077
NVIDIA_vs_BHP Group Ltd ADR,0.9859611147,0.4335709161,0.3178107287,0.05190652796
NVIDIA_vs_Enbridge,0.9696959274,0.5196533323,0.4377245204,0.06566214367
NVIDIA_vs_Sherwin-Williams,0.9842901698,0.2132544105,0.152086834,0.04641959794
NVIDIA_vs_Linde PLC,0.9819706026,0.1813932187,0.140240726,0.04533064727
NVIDIA_vs_Elevance Health,0.9912207329,0.2447378938,0.2298608413,0.06087978552
NVIDIA_vs_McKesson,0.9569746761,0.1598079432,0.1238683833,0.04248510687
NVIDIA_vs_WW Grainger,0.9247901854,0.1786932617,0.1588061481,0.05960578639
NVIDIA_vs_P&G,0.9808006388,0.2387825647,0.1701183324,0.04367676057
Alphabet A_vs_Amazon.com,0.9815263104,0.05390310825,0.03951264698,0.02151303444
Alphabet A_vs_Berkshire Hathaway B,0.9882458314,0.06577615003,0.05019545866,0.02773631766
Alphabet A_vs_JPMorgan,0.9907725266,0.05637045235,0.04296607107,0.0202450546
Alphabet A_vs_Exxon Mobil,0.9762962899,0.1281845412,0.09744425342,0.04206712861
Alphabet A_vs_Caterpillar,0.9921667245,0.06021445627,0.04706522071,0.02447552109
Alphabet A_vs_Walt Disney,0.9546738122,0.3535576695,0.3214527034,0.04251126208
Alphabet A_vs_Chevron,0.9952273171,0.06634069488,0.05155454668,0.01898641715
Alphabet A_vs_UnitedHealth,0.9921638428,0.1088977207,0.07745329984,0.02820695329
Alphabet A_vs_Novo Nordisk ADR,0.9821066959,0.2051747854,0.1226092012,0.03208820419
Alphabet A_vs_Coca-Cola,0.9885518899,0.09244807999,0.06956906704,0.02687809879
Alphabet A_vs_McDonald’s,0.9449410736,0.2456656741,0.1876169293,0.06258989391
Alphabet A_vs_Applied Materials,0.9767724767,0.1015915591,0.08011004044,0.0394298342
Alphabet A_vs_NextEra Energy,0.9956806974,0.1138749403,0.08839385373,0.02819598539
Alphabet A_vs_Southern,0.9883333124,0.06074768985,0.04741606252,0.0199681483
Alphabet A_vs_Rio Tinto ADR,0.9826392376,0.208138372,0.1802214497,0.05693256682
Alphabet A_vs_Waste Management,0.9497238096,0.09805357807,0.08109524065,0.03719118032
Alphabet A_vs_BHP Group Ltd ADR,0.9891018144,0.2090527564,0.146335824,0.0376547832
Alphabet A_vs_Enbridge,0.9916059462,0.1935267209,0.1505422518,0.02375997769
Alphabet A_vs_Sherwin-Williams,0.9757243852,0.1186382544,0.08742382699,0.03711498694
Alphabet A_vs_Linde PLC,0.9860839711,0.1057365389,0.05956516941,0.02604478696
Alphabet A_vs_Elevance Health,0.9949356951,0.102032644,0.08212215035,0.03207121533
Alphabet A_vs_McKesson,0.972590482,0.09235517072,0.07762795111,0.03891774205
Alphabet A_vs_WW Grainger,0.9922502054,0.07090859004,0.05556918483,0.02557941961
Alphabet A_vs_P&G,0.9856059965,0.0773867159,0.0623946376,0.03526112169
Amazon.com_vs_Berkshire Hathaway B,0.9890778067,0.06755413803,0.05144835353,0.02116806519
Amazon.com_vs_JPMorgan,0.9896245805,0.08144968193,0.06229476217,0.03297999021
Amazon.com_vs_Exxon Mobil,0.9506008008,0.232708244,0.1888370487,0.06287471735
Amazon.com_vs_Caterpillar,0.9931298461,0.05045131159,0.03830733568,0.0184885993
Amazon.com_vs_Walt Disney,0.973631941,0.2659776926,0.2452816265,0.03642962739
Amazon.com_vs_Chevron,0.9833279423,0.1638603821,0.1392283998,0.0570089244
Amazon.com_vs_UnitedHealth,0.9901829717,0.1073152944,0.07668835203,0.02628038034
Amazon.com_vs_Novo Nordisk ADR,0.9854646191,0.1749890464,0.1012221299,0.02199221715
Amazon.com_vs_Coca-Cola,0.9943436793,0.08887751842,0.06028081887,0.02312417408
Amazon.com_vs_McDonald’s,0.9937123755,0.08065205667,0.05884909168,0.02367338348
Amazon.com_vs_Applied Materials,0.8648661471,0.2243630212,0.1698865114,0.06203411464
Amazon.com_vs_NextEra Energy,0.986616074,0.1859876599,0.1696820372,0.05091957337
Amazon.com_vs_Southern,0.9931916041,0.0756315979,0.05627692222,0.02595616905
Amazon.com_vs_Rio Tinto ADR,0.9962889436,0.09434391174,0.0821511198,0.03297698329
Amazon.com_vs_Waste Management,0.9862159245,0.06621671419,0.05239877597,0.02184933232
Amazon.com_vs_BHP Group Ltd ADR,0.9987692735,0.06460578383,0.05035910556,0.01970489497
Amazon.com_vs_Enbridge,0.9944979285,0.1441771175,0.1102614748,0.02091671431
Amazon.com_vs_Sherwin-Williams,0.9900402634,0.07364147899,0.04399146409,0.01971707986
Amazon.com_vs_Linde PLC,0.9639477074,0.1640823414,0.1185531168,0.03658365117
Amazon.com_vs_Elevance Health,0.997817404,0.07082777611,0.04701894511,0.01984198317
